"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 5:44:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
11,0.02134269,0.0219737,0.02208657,0.01541146,0.01294435,0.1001687,0.009392835,0.001726086,0.03943491,0.02823276,0.0237485,0.001853548,0.005094587,0.0004751001,0.006725046,0.003720307,0.01900515,0.06712049,0.03306858,0.01141375,0.0007482368,0.1664927,0.001263525,0.07929493,0.03479082,0.003115126,0.02141298,0.003243594,0.03135042,0.0001925809,0.0526427,0.001474389,0.008349354,0.01380766,0.003217022,0.02042866,0.05063759,0.08763538,0.01588488,0.01442062,0.09814797,0.1204411,0.03972365,0.02858929,0.02883479,0.1873287,0.2903453,0.1307797,0.1960305,0.007655282,0.06410024,0.1749264,0.02274411,0.1450629,0.01823155,0.0467423,0.6715377,2.549446,4.852181,2.249439,0.6025035,0.1679317,0.7260186,0.2832895,0.07463563,1.600119,0.07894073,0.05397094,0.4644442,0.1708146,13.27999,15.42054,4.013016,12.07655,15.65138,110.2932,12.91867,63.08853
12,0.02133548,0.02200156,0.02202767,0.01542319,0.01292775,0.1001965,0.009407206,0.001740355,0.03945988,0.02823266,0.02387129,0.001840304,0.005333383,0.0004726641,0.006739575,0.003775014,0.01945515,0.06655925,0.03315027,0.01134592,0.0007304094,0.1637739,0.00124009,0.07834092,0.03437888,0.003061522,0.02142859,0.003175825,0.03122175,0.0001880036,0.05247621,0.001472366,0.008442252,0.01376893,0.003081209,0.01967501,0.05023235,0.08678485,0.01568104,0.01427737,0.09763067,0.1192024,0.03944902,0.02843991,0.02856402,0.1807366,0.2824222,0.1309901,0.1884245,0.007639139,0.06366938,0.1708251,0.02157077,0.1366635,0.01808769,0.04487814,0.6440457,2.346107,4.330124,2.052251,0.5613809,0.1583533,0.6752955,0.273356,0.07016785,1.364652,0.07021959,0.0457939,0.4136648,0.1583851,12.4334,14.05737,2.320089,10.85672,10.03436,74.68143,8.520874,52.67225
13,0.02130302,0.02199007,0.02192699,0.01539809,0.01290375,0.09998739,0.009405616,0.001723504,0.0394193,0.02815824,0.0238279,0.001815536,0.005537181,0.0004700614,0.006566666,0.003807046,0.01989949,0.06564856,0.03327199,0.01126517,0.0006947168,0.1601084,0.001136838,0.07653752,0.03391177,0.002991948,0.02138837,0.003089871,0.03098067,0.0001824683,0.05174158,0.001407705,0.008408664,0.01392744,0.00289395,0.01884481,0.04947571,0.08539835,0.01542396,0.0140869,0.09638277,0.1169105,0.03901899,0.02815315,0.02810278,0.1742907,0.2719123,0.1299673,0.1802468,0.007572409,0.06281359,0.1669371,0.02044504,0.1285752,0.01792244,0.04301692,0.6175023,2.245738,3.997604,1.914648,0.5323763,0.1516708,0.6302054,0.2638758,0.06600731,1.152843,0.06235082,0.03860409,0.3687904,0.146068,11.68781,12.97071,1.501613,10.27604,11.62596,96.84442,11.23804,52.96536
14,0.02125744,0.0219439,0.02179861,0.01536071,0.01287534,0.09970396,0.009399161,0.001705563,0.0393567,0.02806636,0.02375649,0.00178987,0.005740357,0.000467428,0.00638952,0.00383579,0.02032979,0.06464586,0.03334657,0.01116446,0.0006729255,0.1566122,0.001088121,0.07460185,0.03345625,0.002939801,0.02133507,0.003032566,0.03073978,0.0001778088,0.0512098,0.001344751,0.00835497,0.01406558,0.002770599,0.0181141,0.04873671,0.08394048,0.01516358,0.01389667,0.09503943,0.1147561,0.03851817,0.02783962,0.02760505,0.1686108,0.2624589,0.1287787,0.1727587,0.007498111,0.06202577,0.1637398,0.01949669,0.1214457,0.01774871,0.04112829,0.5940763,2.559439,4.095118,1.864444,0.5249922,0.1501041,0.5966659,0.2569444,0.06242535,0.9749343,0.05758231,0.03522369,0.3451287,0.1356329,11.28664,12.51903,1.256749,10.93678,17.99158,136.7063,19.28642,66.84605
15,0.02120648,0.02187086,0.02165196,0.01532317,0.01284443,0.09940519,0.009390128,0.001687089,0.03928271,0.02796399,0.02367787,0.001764364,0.005943089,0.0004647784,0.00621256,0.003862013,0.02074875,0.0636292,0.03338922,0.01105447,0.0006595821,0.1532406,0.001073593,0.07266491,0.03305536,0.002898839,0.02127334,0.002996512,0.03049541,0.0001739548,0.05069853,0.001284252,0.008288338,0.01419518,0.00267266,0.01747609,0.04800002,0.08255366,0.01490561,0.01371569,0.09378971,0.1128687,0.03799533,0.02753902,0.02709399,0.1638784,0.2541564,0.1276545,0.1662475,0.007423687,0.06137949,0.1609159,0.01870767,0.1152979,0.01757194,0.0393237,0.5743685,2.614654,4.400877,1.849023,0.5246855,0.1502627,0.5726559,0.2517059,0.05941042,0.8323846,0.05563073,0.0348718,0.3401049,0.1281665,11.15429,12.53953,1.27672,12.33243,19.03224,134.4494,21.19131,74.98073
16,0.02115364,0.02177745,0.02149394,0.01528615,0.01281338,0.0991187,0.009380141,0.001668555,0.03920341,0.02785445,0.02360518,0.001739908,0.006145604,0.0004621316,0.006038358,0.003886475,0.02115897,0.06264395,0.0334154,0.01094142,0.0006542156,0.1504501,0.001084915,0.07093704,0.03271411,0.002878135,0.02123129,0.002990746,0.03029652,0.0001714805,0.05028417,0.00122658,0.008213461,0.01432365,0.002610409,0.01701539,0.04737227,0.08128697,0.01466484,0.01355309,0.09268481,0.1113174,0.03747649,0.02725701,0.02659454,0.1603325,0.2475057,0.1266292,0.1609964,0.007352748,0.06089387,0.1586959,0.01812125,0.1103206,0.01739651,0.03766277,0.5590312,2.665649,5.154037,1.921982,0.5453458,0.1555442,0.5590479,0.2489016,0.05711103,0.7200719,0.05643076,0.03703971,0.3505287,0.1236396,11.30819,13.01456,1.667151,14.36187,25.84773,148.9626,29.06602,88.86423
17,0.02110903,0.02167127,0.02133529,0.01525921,0.01278553,0.09892667,0.009372222,0.001650815,0.0391352,0.02774696,0.02356983,0.001718395,0.0063496,0.0004595177,0.005872128,0.003910893,0.02156466,0.06181479,0.03344879,0.01083684,0.0006629224,0.1487097,0.001125952,0.06966688,0.03249241,0.002887599,0.02124168,0.003023345,0.0301939,0.0001709938,0.05001642,0.001172371,0.00813755,0.01447154,0.002598502,0.01680864,0.04695811,0.08031225,0.0144649,0.01343379,0.09194095,0.1104102,0.03703075,0.02703753,0.0261633,0.1587264,0.2434567,0.1258832,0.1578899,0.00729268,0.06071752,0.1575933,0.01786346,0.1070586,0.01723155,0.03626009,0.5506402,2.700305,6.470368,2.131942,0.597986,0.1687776,0.560227,0.2499619,0.05591954,0.639345,0.06169732,0.04381401,0.3874555,0.1229075,11.97428,14.23324,3.236178,17.58525,37.76871,151.1026,40.8973,108.0546
18,0.0210786,0.02156295,0.02119601,0.01524485,0.01276316,0.09887145,0.009368692,0.001634335,0.03908457,0.02764491,0.02358698,0.001700407,0.006556353,0.000456953,0.005717776,0.003935941,0.02196957,0.06118907,0.03351245,0.01075203,0.000682506,0.1479707,0.001182036,0.068908,0.03239144,0.00291769,0.02130138,0.003078423,0.03016635,0.0001720154,0.04983744,0.001122231,0.00806797,0.01464625,0.002613523,0.01679349,0.04669368,0.0797773,0.01430245,0.01334901,0.09156536,0.1099991,0.03668046,0.02687806,0.02580022,0.1588003,0.2415574,0.1254515,0.1566746,0.007250509,0.06082911,0.1571739,0.01785153,0.1053846,0.01709773,0.03530918,0.5484908,2.362866,7.61803,2.391423,0.654339,0.1833418,0.5721123,0.2527697,0.05577061,0.5940105,0.06996394,0.05323505,0.4382244,0.1260313,12.90423,15.73484,6.960739,20.4636,40.01234,133.0021,41.24496,115.941
19,0.0210592,0.02146317,0.02109575,0.01523554,0.01274651,0.09891559,0.009369662,0.001619024,0.0390459,0.02754616,0.02364522,0.001685214,0.006766601,0.0004544408,0.005575485,0.003961465,0.02237704,0.06071578,0.03362065,0.0106882,0.0007018032,0.1479818,0.001223849,0.06856103,0.03234999,0.002956611,0.02139409,0.003135811,0.03018284,0.0001738394,0.04969928,0.001076038,0.008007594,0.01483919,0.002634562,0.01688755,0.04650553,0.07969239,0.01416712,0.01327757,0.09137139,0.109718,0.03640064,0.02673824,0.02547728,0.1597805,0.2408959,0.1251857,0.1565181,0.007225658,0.06107727,0.1570327,0.0179361,0.104997,0.01701736,0.0349238,0.550193,1.897974,8.163737,2.642518,0.6975259,0.195069,0.5884203,0.2551452,0.05646699,0.5840084,0.07763121,0.06062381,0.4782676,0.1310438,13.66031,16.87108,11.71963,21.59282,36.11968,117.2298,35.36415,112.5118
20,0.02104367,0.02137472,0.02103001,0.01522384,0.01273307,0.09898725,0.009373022,0.001604308,0.03900814,0.02744646,0.02371491,0.001670966,0.006979678,0.0004519655,0.005441525,0.003986523,0.02278569,0.06028444,0.03375798,0.01063739,0.0007049206,0.1481083,0.001221342,0.06836589,0.03229069,0.002985229,0.021482,0.003171114,0.03017567,0.0001753664,0.0495216,0.001032997,0.007953781,0.01503406,0.002623507,0.01694343,0.0462619,0.07984994,0.01403451,0.01319444,0.09113979,0.1092222,0.03613543,0.02657726,0.02513951,0.1605863,0.240048,0.1249271,0.1562384,0.00720971,0.0612689,0.1565496,0.01793625,0.1049927,0.01698111,0.03492174,0.5519149,1.465837,7.991656,2.823061,0.7147352,0.2009122,0.6014977,0.2552758,0.05740309,0.596191,0.08154677,0.06257533,0.4907807,0.1354356,13.92589,17.21141,13.80873,20.7518,27.6001,96.78369,26.17398,98.84026
