"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 5:44:25 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,TLC

year,value
1980,2.359377
1981,2.287228
1982,2.352401
1983,2.376761
1984,2.222814
1985,2.316293
1986,2.335839
1987,2.359678
1988,2.374791
1989,2.31461
1990,2.265937
1991,2.339049
1992,2.314445
1993,2.293167
1994,2.33392
1995,2.364048
1996,2.2602
1997,2.3798
1998,2.361953
1999,2.332668
2000,2.354755
2001,2.365406
2002,2.365554
2003,2.337553
2004,2.287683
2005,2.419864
2006,2.370573
2007,2.353221
2008,2.403054
2009,2.398007
2010,2.331437
2011,2.296422
2012,2.422544
2013,2.366244
2014,2.322555
2015,2.344444
2016,2.426882
