"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 5:44:24 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,FeedingTime

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1995,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7985502,1,0.6466033,1,1,1.121422,1,1.131404,1,0.6888954,1,1,1,1,0.7910194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9590957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1996,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.177983,1,0.928439,1,1,1.405115,1,1.554828,1,0.9189978,1,1,1,1,1.300393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.55395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1997,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9162805,1,0.7564481,1,1,1.422855,1,1.454352,1,0.8628214,1,1,1,1,0.974758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.079564,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1998,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.8258864,1,0.6204472,1,1,1.242648,1,1.297885,1,0.7574744,1,1,1,1,0.8455322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9570969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1999,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7198769,1,0.5736125,1,1,1.00528,1,1.152658,1,0.6441566,1,1,1,1,0.8444391,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.237172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.8378651,1,0.6645949,1,1,1.26059,1,1.248414,1,0.7088985,1,1,1,1,1.539445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.153984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2001,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9486449,1,0.7231529,1,1,1.478415,1,1.566441,1,0.8925543,1,1,1,1,1.383368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.273219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2002,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7769145,1,0.568401,1,1,1.372665,1,1.431484,1,0.8454916,1,1,1,1,1.178288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9485592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2003,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7436365,1,0.5280426,1,1,1.050159,1,1.212676,1,0.7107992,1,1,1,1,0.9771416,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2004,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9836939,1,0.7555206,1,1,1.11211,1,1.462933,1,0.8489928,1,1,1,1,1.371446,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.342674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2005,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.671597,1,0.5741096,1,1,0.8259788,1,1.089161,1,0.6335613,1,1,1,1,1.019496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.147962,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7767032,1,0.6644115,1,1,0.8737214,1,1.103015,1,0.6502016,1,1,1,1,1.774616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.040371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.8762283,1,0.8463098,1,1,1.056846,1,1.35757,1,0.7844982,1,1,1,1,1.620422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.33455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9939072,1,1.000779,1,1,1.26084,1,1.549994,1,0.9526253,1,1,1,1,1.822956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.05767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7906178,1,0.6725252,1,1,0.9553598,1,1.288828,1,0.7777214,1,1,1,1,1.742044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.022031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.5575426,1,0.4500833,1,1,0.6192884,1,0.9598807,1,0.5484142,1,1,1,1,1.398375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.092403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.82429,1,0.7713899,1,1,0.7181149,1,1.127535,1,0.6359737,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.6272166,1,0.6067152,1,1,0.762233,1,1.051246,1,0.5738726,1,1,1,1,1.995043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.37379,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.818388,1,0.7696731,1,1,1.379153,1,1.36569,1,0.8172572,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9801905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.6356005,1,0.4908327,1,1,1.3078,1,1.197005,1,0.6995323,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.247277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7164874,1,0.5228938,1,1,1.401649,1,1.220585,1,0.7220706,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.205047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016,1,1,1,1,1,1,1,1,1,1,1,1,1.521166,1,1,1,2,1,1,1,0.3598883,1,0.2824265,1,1,0.7076254,1,0.6281025,1,0.3735516,1,1,1,1,1.760378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9351931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
