title,BKT_SED29U_Br,BKT_SED29U_C,BKT_SED29U_F,DUS_SED21U_Br,DUS_NOAA_Cr,DUS_SED21U_F,SNB_SED54_Br,SNB_NOAA_C,SNB_SED54_F,LCS_SED11_Br,LCS_NOAA_C,LOS_Mako_PelLL_ICCAT_Br,LOS_NOAA_C,LOS_ICCAT_F,ASN_SED34_Br,ASN_NOAA_C,ASN_SED34_F,SCS_SED34_Br,SCS_NOAA_C,YFT_PelLL_ICCAT_Br,YFT_NOAA_C,YFT_ICCAT_F,BFT_GOMPelLL_ICCAT_Br,BFT_NOAA_C,BFT_ICCAT_F,TUN_PelLL_ICCAT_Br,TUN_NOAA_C,BIL_PelLL_ICCAT_Br,BIL_ICCAT_C,BIL_ICCAT_F,SWO_PelLL_ICCAT_Br,SWO_NOAA_Cr,SWO_ICCAT_F,PCP_SMP_TRWL_Br,PCP_NOAA_C,GAJ_SED33U_Br,GAJ_SED33U_F,GAJ_SED33U_C,COB_SED28_Br,COB_SED28_F,COB_SED28_C,KM_0_SED38_Br,KM_1_SED38_Br,KM_1_SED38_F,KM_1_SED38_C,SM_0_SED28_Br,SM_1_SED28_Br,SM_1_SED28_F,SM_1_SED28_C,RAY_NOAA_C,RAY_SMP_TRWL_Br,Gag_0_SED33U_Br,Gag_3_SED33U_Br,Gag_3_SED33U_F,Gag_3_SED33U_C,RGR_0_SED61_Br,RGR_3_SED61_Br,RGR_3_SED61_F,RGR_3_SED61_C,YEG_0_SED22_Br,YEG_3_SED22_Br,YEG_3_SED22_F,YEG_3_SED22_C,GOL_SED47_Br,GOL_NOAA_C,GOL_SED47_F,DWG_NOAA_Cf,SWG_YMG_SMP_VID_Br,SWG_NOAA_Cf,RSN_0_SED52_Br,RSN_1_SED52_Br,RSN_1_SED52_F,RSN_1_SED52_Cr,RSN_3_SED52_Br,RSN_3_SED52_F,RSN_3_SED52_C,VSN_SED67_Br,VSN_SED67_F,VSN_SED67_C,MSN_SED15AU_Br,MSN_SED15AU_F,MSN_SED15_C,OSN_SMP_TRWL_Br,OSN_NOAA_C,CoP_NOAA_C,ST_NOAA_C,ST_SMP_TRWL_Br,OcP_NOAA_C,OcP_SMP_TRWL_Br,BeP_NOAA_C,BeP_SMP_TRWL_Br,ReP_NOAA_C,ReP_SMP_TRWL_Br,RIF_NOAA_C,RIF_SMP_TRWL_Br,DCIF_NOAA_C,DCIF_SMP_TRWL_Br,RD_DISL_Br,RD_SED49_Cf,BCIF_NOAA_C,BCIF_SMP_TRWL_Br,TLF_SED22_Br,TLF_SED22_F,TLF_SED22_C,GTR_SED43_Br,GTR_SED43_F,GTR_SED43_C,CoOm_NOAA_C,CoOm_SMP_TRWL_Br,ReOm_NOAA_C,SRF_NOAA_C,SHS_NOAA_C,SHS_SMP_TRWL_Br,MEN_0_SED63_Br,MEN_1_SED63_Br,MEN_1_SED63_F,MEN_1_SED63_Cr,MEN_2_SED63_Br,MEN_2_SED63_F,MEN_2_SED63_C,MEN_3_SED63_Br,MEN_3_SED63_F,MEN_3_SED63_Cr,MEN_4_SED63_Br,MEN_4_SED63_F,MEN_4_SED63_Cr,ASK_SMP_TRWL_Br,MUL_NOAA_Cf,BUT_SMP_TRWL_Br,CEP_SMP_TRWL_Br,PSHR_SEFSC_2018_Br,PSHR_SEFSC_2018_F,PSHR_SEFSC_2018_C,BSHR_SEFSC_2018_Br,BSHR_SEFSC_2018_F,BSHR_SEFSC_2018_C,WSHR_SEFSC_2018_Br,WSHR_SEFSC_2018_F,WSHR_SEFSC_2018_C,CRB_SMP_TRWL_Br,CRB_GDAR_F,CRB_NOAA_C,MEP_SMP_TRWL_Br,MEP_NOAA_C,Comm_Dredge_Dig_E,Comm_Handline_E,Comm_Longline_Fish_E,Comm_Longline_Pelagic_E,Comm_Longline_Shark_E,Comm_Nets_E,Comm_Other_E,Comm_Pots_Traps_E,Comm_Purse_Menhaden_E,Comm_Purse_Other_E,Comm_Trawl_Bottom_Other_E,Comm_Trawl_Bottom_Shrimp_E,Rec_Headboat_E,Rec_Shore_E,Rec_Charterboat_E,Rec_Private_E
weight,1,0.5,1,1,0.5,1,1,0.5,0.5,1,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,1,1,1,1,1,1,1,1,3.780804038,1,1,9.04158218,1,1,0.550776132,1,10.68338172,1,7.849558316,7.877364591,1,2.91,12.28960161,15.03007788,1,17.7325756,5.112123148,10.77956389,1,5.71,1,2.614892847,15.3156862,22.11894536,1,7.413274335,4.539571614,7.229328821,1,4.981293779,7.793356177,20.71111329,1,27.13943168,13.16750877,1,1,1,1,1,15.86678862,14.57079032,1,20,13.27479202,1,19.99999202,21.17229992,1,10.23860897,13.16750877,1,1,0.693275935,1,1,1,5.565316209,1,3.271817145,1,14.35517822,1,3.052945517,1,9.223392577,1,5.064911533,1,1,1,11.36966917,3.635465842,1,3.212409238,5.744619113,1,10.67698154,1,10.38572616,1,1,1,3.02804146,1,13.16750877,1,5.496166424,13.16750877,1,5.496166424,13.16750877,1,5.496166424,13.16750877,1,5.496166424,2.740987445,1,1.423256154,4.988521003,13.16750877,1,0.971150426,13.16750877,1,10.62443351,13.16750877,1,7.981334919,0.551689789,1,1,0.629580498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pool code,6,6,6,7,7,7,8,8,8,9,9,10,10,10,11,11,11,12,12,13,13,13,14,14,14,15,15,16,16,16,17,17,17,18,18,19,19,19,20,20,20,21,22,22,22,23,24,24,24,25,25,26,27,27,27,28,29,29,29,30,31,31,31,32,32,32,33,34,34,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,50,51,51,51,52,52,53,54,57,57,58,59,59,59,60,60,60,61,61,61,62,62,62,63,64,65,66,67,67,67,68,68,68,69,69,69,70,70,70,72,72,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
type,0,6,4,0,61,4,0,6,4,0,6,0,6,4,0,6,4,0,6,0,6,4,0,6,4,0,6,0,6,4,0,61,4,0,6,0,4,6,0,4,6,0,0,4,6,0,0,4,6,6,0,0,0,4,6,0,0,4,6,0,0,4,6,0,6,4,-6,0,-6,0,0,4,61,0,4,6,0,4,6,0,4,6,0,6,6,6,0,6,0,6,0,6,0,6,0,6,0,0,-6,6,0,0,4,6,0,4,6,6,0,6,6,6,0,0,0,4,61,0,4,6,0,4,61,0,4,61,0,-6,0,0,0,4,6,0,4,6,0,4,6,0,4,6,0,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1980,,,0.008,1.661000486,0.000162478,0.018,1.89821484,0.0000118,0.054,1.044402005,0.000259965,1.41,,0.019,1.337206838,0.0002079,0.209,1.493524164,0.0000118,,,0.194,,1.48E-05,0.161,,0.001526056,,,0.314,,0.002780645,0.079,,0.009873187,2.13033897,0.158172525,0.004603499,1.116987224,0.244325027,0.002708187,0.369275659,1.143256437,0.048236971,0.006758745,1.050159526,1.144188745,0.130722271,0.008223603,0.000339305,,0.676128066,0.831264923,0.235196082,0.004262261,,,0.228927726,,1.004183442,1.960697228,0.026382337,0.001274761,0.744173729,0.000296121,0.212,0.000175643,,,1.448083808,0.640648783,0.482179619,0.004581201,0.611104233,0.251610576,0.010637193,1.553694926,0.012450456,0.000918788,,0.141377012,,,0.001033108,0.017036807,0.021514273,,0.000368014,,0.000000242,,9.94E-07,,0.003186758,,0.038262607,,,0.004006633,7.45E-05,,1.887671417,0.005826001,4.09E-05,1.604461089,0.03720255,0.002035232,0.000109526,,3.78E-06,0.000321754,0.007586128,,,0.765353219,0.24875279,0.758880968,1.224816833,0.626416421,1.254411613,1.407898486,0.499831826,0.215717581,0.964655079,0.436884154,0.031700948,,0.042977834,,,,0.16577444,,,1.975964656,,,0.082297539,,,0.819218503,0.062849881,,0.034349555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1981,1.062360802,0.000794463,0.008,1.661000486,0.000194801,0.021,1.889192943,3.69E-05,0.247,1.050370017,0.000521736,1.4,,0.03,1.332157728,0.004802549,0.258,1.46233472,3.80E-05,,,0.244,,3.80E-05,0.169,,0.000554186,,0.000661356,0.36,,0.0019,0.069,,0.014890845,1.92341018,0.101875233,0.002677003,1.075491505,0.212713681,0.002270204,0.474108266,1.09591787,0.045214316,0.006072903,1.052530146,1.159661376,0.162306372,0.010348601,0.000290835,,0.65770629,0.844690372,0.222996457,0.004106445,,,0.228097194,,1.019924792,1.906817981,0.085005347,0.003994483,0.797139831,0.000268371,0.702,0.001146984,,0.001675636,1.798631425,1.032513128,0.433205536,0.006633459,0.49892887,0.260966951,0.009007556,1.531274917,0.013628489,0.000991209,1.09765527,0.133849634,0.002061716,,0.002006075,0.018569274,0.038823155,,0.000290293,,0.001506866,,0.004843412,,0.012102965,,0.052879456,,,0.01354008,0.000110437,,1.864405233,0.052268947,0.000362161,1.540871967,0.07775563,0.004085172,0.002525527,,8.33E-05,0.000317129,0.008132322,,,1.452930543,0.179830117,1.041480323,0.72093612,0.488815161,0.576165484,1.129840695,0.385991733,0.133685871,1.241848062,0.337649503,0.031540494,,0.049638955,,,,0.165711527,,,2.035597157,,,0.074837569,,,0.840120266,0.062171266,,0.028829028,1.096824167,1.028938149,1.17543613,1,0.990291262,1.108906729,1.052287582,0.984403906,0.992670491,1.56,0.815920398,1.551355087,0.995654931,1.227015859,1,1
1982,1.062360802,0.000968047,0.008,1.64351627,0.000216795,0.024,1.84545935,0.000120672,0.209,1.032465982,0.000989023,1.39,1.13E-05,0.034,1.320058422,0.000253096,0.247,1.422837857,0.000122537,,0.000311945,0.268,,4.68E-05,0.052,,0.000406623,,1.61E-05,0.377,,0.002148387,0.086,0.0000947,0.017816809,2.0273306,0.246042667,0.006814645,1.077830491,0.336238648,0.003596338,1.174226551,1.039250407,0.056566453,0.007204794,1.038481658,1.076174897,0.220690477,0.013058141,0.000519447,0.005592559,1.054199743,0.834099724,0.281755598,0.005123432,,,0.226209411,,0.980362561,1.743939619,0.15410682,0.006623056,0.508474576,0.001894643,0.498,0.001543733,,0.001950652,1.015167365,1.575027956,0.37355137,0.008725475,0.396249574,0.212146203,0.005815498,1.514154897,0.022616306,0.001626509,1.118803812,0.135506472,0.002127452,0.009341946,0.002594512,0.024424392,0.044869837,0.01384767,0.000448955,0.0001,0.00192865,0.075702082,0.000618381,,0.01212609,0.066095617,0.056634753,0.04308185,,0.016458158,0.002371735,0.099552317,1.783359417,0.066680988,0.000441935,1.39902766,0.084501593,0.00403091,0.001730994,0.040260792,0.000136935,0.000236567,0.012074512,0.002356801,,1.409551136,0.21597604,1.213473226,1.494718916,0.563917693,1.378100968,0.915690115,0.447783219,0.12569171,1.408256482,0.391539388,0.041475452,0.002855219,0.041470907,0.0001,0.007268826,,0.166538035,,,1.958179062,,,0.078437285,,0.018647719,0.818704689,0.054126207,0.02543115,0.026900532,1.183062226,1.028911997,1.175257093,1,0.979195562,1.20246716,1.274509804,1.009709272,1.041746335,1.733333333,0.676616915,1.57436635,1.012793847,1.505567918,1.000734488,0.700496004
1983,1.058351893,0.000476618,0.005,1.626032054,0.000257485,0.029,1.8057748,0.000530447,0.385,1.020529959,0.000463524,1.39,,0.038,1.31197239,0.002345769,0.239,1.380284716,0.000189706,,0.000224099,0.293,,0.000120061,0.083,,0.000483105,,1.29E-05,0.422,,0.001296774,0.101,0.003798802,0.017885524,1.837199784,0.16216672,0.0040703,0.895218088,0.290262142,0.002578586,0.344874134,0.973522851,0.060116561,0.0071727,1.018948452,0.983339977,0.163911035,0.008861899,0.000593641,0.005864298,1.130201202,0.84448945,0.310088547,0.005708873,,,0.232476574,,0.972914518,1.475423509,0.139883082,0.005086125,0.407838983,0.000255388,0.232,0.000510872,,0.003963266,0.467646316,1.442852637,0.410026252,0.008773727,0.418825818,0.306573154,0.008882811,1.489451823,0.016872127,0.001193605,1.085701747,0.154774931,0.002358071,0.006365864,0.003135172,0.027657966,0.04779884,0.052443365,0.000494819,0.007079257,0.005153651,0.078638271,0.000811035,0.001071391,0.014318089,0.047155988,0.059272929,0.278998862,,0.021649254,0.002750625,0.170561744,1.687942272,0.054365064,0.000341032,1.281703149,0.060175293,0.002629769,0.001812087,0.041888462,4.63E-05,0.0000382,0.009515841,0.010163394,,1.031826664,0.27721595,1.140167742,1.385629,0.676667948,1.53295129,1.609717765,0.54212589,0.267510097,1.057122214,0.473693541,0.037666613,0.003369599,0.041180829,0.006560762,0.026860757,,0.165073758,,,1.93411775,,,0.093617764,,0.039368235,0.798830554,0.059320614,0.057028931,0.025120458,1.227214046,1.029071743,1.176241699,1,0.830790569,1.285581261,1.326797386,1.071238886,1.044933078,1.786666667,0.611940299,1.387829433,0.991551222,1.847355711,0.975225081,0.881149016
1984,1.058351893,0.000635702,0.006,1.608547839,0.000227728,0.036,1.739181805,0.000126294,0.271,1.020529959,0.0004892,1.38,1.07E-04,0.04,1.245120456,0.000291261,0.242,1.349727115,0.000192475,,0.001256353,0.205,,0.00025697,0.082,,0.000335879,,4.84E-05,0.435,,0.001277419,0.095,0.004119194,0.01782576,1.824007123,0.146429243,0.003648905,0.693687664,0.315710154,0.002173276,0.521186848,0.920750265,0.06825242,0.007701978,1.01071762,0.947458006,0.13912588,0.007247409,0.000568387,0.001570112,0.79463511,0.87533543,0.193803829,0.003698344,,,0.225605596,,0.921886234,1.279362401,0.128644973,0.00405594,0.444915254,0.000215572,0.399,0.000191169,,0.001079594,0.340829361,0.789367977,0.213709565,0.002501808,0.480176499,0.293767951,0.009758614,1.476775812,0.037653169,0.002641074,1.059495946,0.159850944,0.002376623,0.011447281,0.006547467,0.026462512,0.04452527,0.050454033,0.000515807,0.011857635,0.001105963,0.06690352,0.000248649,0.001524973,0.013893535,0.04128068,0.047734616,0.297125626,,0.023204233,0.000599576,0.142681657,1.615435962,0.073607058,0.000441903,1.237625584,0.029492224,0.00124454,0.002329727,0.029431212,7.28E-05,0.0000406,0.01059993,0.022103884,,1.168599298,0.358107441,1.668102581,0.935487165,0.801168899,1.22537129,1.112608948,0.648783353,0.221275097,1.252388312,0.566342093,0.053352129,0.011520935,0.042173772,0.065214969,0.022374985,0.489122033,0.165522787,0.007202926,0.647191762,2.214494659,0.119999179,1.715915896,0.052457657,0.081984532,0.045677928,0.902825556,0.082586786,0.032063994,0.026414986,1.228375936,1.028830708,1.174809596,1,1.191400832,1.197955936,1.435729847,1.181268441,1.0291587,1.88,0.532338308,1.723565999,0.982619723,2.266734755,1.024040431,0.966815825
1985,1.054342984,0.000842967,0.007,1.591063623,0.000204964,0.044,1.685659749,5.28E-05,0.225,1.008593937,0.001444907,1.37,,0.087,1.246503687,2.83E-04,0.275,1.324847751,0.000102694,,0.004757096,0.273,,0.000217761,0.104,,0.000368958,,0.000165484,0.42,,0.002051613,0.111,0.001125022,0.013095204,1.807199974,0.220351138,0.005440387,0.784509346,0.344864586,0.002684783,0.776194169,0.858381523,0.057738152,0.006074152,1.413067118,0.9515839,0.107040174,0.005600268,0.001835053,0.007296431,0.77735911,0.970826786,0.306689526,0.006490993,,,0.220546063,,0.963358597,1.131704672,0.108200856,0.00301765,0.421080508,0.000424083,0.931,0.002049237,,0.002315209,0.48222149,0.412759635,0.098793782,0.000604752,0.547150057,0.32964467,0.012477723,1.431695613,0.047741245,0.003246452,0.972832901,0.050414934,0.000688245,0.018150975,0.00320442,0.023983687,0.042192161,0.061918634,0.000464246,0.018024836,0.002786907,0.066608628,0.000833142,0.001333942,0.015334849,0.058077366,0.052605838,0.173540319,,0.021867716,0.000575171,0.109588706,1.527604778,0.071804774,0.000407645,1.269492294,0.025574707,0.001107013,0.000930393,0.045100256,0.000213226,0.000430088,0.011242664,0.009178053,,1.698343089,0.259354591,1.755751935,0.944191164,0.645556651,0.996552258,0.494498852,0.515892949,0.078201516,0.649513678,0.450866296,0.022027742,0.007708756,0.037523852,0.010966066,0.014555785,1.131092369,0.169017561,0.022971613,0.875823831,1.725924778,0.126563734,1.060578194,0.089236433,0.086200926,0.044066143,0.754457955,0.082755605,0.038818975,0.025450239,1.126646011,1.028833539,1.174719984,1,1.364771151,1.086142678,1.331154684,1.299265071,0.893244105,1.773333333,0.512437811,1.671080894,1.064210595,2.781319492,1.002937951,1.070891785
1986,1.050334076,0.003545113,0.014,1.573579407,0.000194702,0.056,1.638427469,0.000259526,0.316,1.008593937,0.001491802,1.34,1.87E-06,0.12,1.243496111,0.004717882,0.327,1.26515335,5.78E-05,,0.011314972,0.233,,0.000371122,0.101,,0.003312015,,0.000313548,0.511,,0.001441935,0.148,0.000857582,0.018685313,1.681413586,0.370113987,0.008501945,0.660774496,0.415361425,0.002723591,0.69722416,0.809981046,0.065707524,0.006522774,0.882316142,1.057234678,0.309320137,0.017980199,0.000644236,0.004973534,0.767441654,0.936470416,0.291161723,0.005944274,0.937226739,1.04573952,0.251278064,0.016147681,1.063844916,1.031336711,0.081649443,0.002075195,0.230402542,0.000214396,0.721,0.001256005,,0.010196834,0.565672016,0.394047575,0.08161381,0.000476939,0.531258436,0.32904793,0.012093384,1.380845638,0.06116487,0.004011545,1.009842849,0.109057364,0.001545448,0.005310658,0.002712909,0.026205918,0.053170935,0.034692516,0.000439728,0.003598747,0.004678195,0.048679315,0.000731925,0.004594307,0.012550892,0.04233054,0.057368239,0.050838218,,0.035809867,0.000460279,0.061769388,1.44742924,0.090480434,0.00048671,1.35968827,0.050839835,0.002356977,0.001426401,0.040542537,9.91E-05,0.000464576,0.016031448,0.006124864,,1.042877273,0.236853137,0.984591613,1.577367342,0.604316678,1.558487097,0.827506503,0.481359386,0.122104355,0.461397779,0.420796116,0.014604313,0.004167934,0.045443016,0.009995525,0.01098561,0.881537359,0.160680926,0.017020277,0.925631818,1.861933814,0.144302273,0.816611305,0.139159204,0.103503339,0.029065296,0.739208151,0.077731367,0.017823943,0.04037815,1.026981668,1.029550981,1.179195518,1,1.611650485,0.919570937,1.557734205,1.419749026,0.96637986,2.186666667,0.502487562,2.128691234,0.927823349,3.412723125,0.899088665,1.048533612
