"","scenario","nll_spa_obs","nll_spa_sim","nll_sim_obs","mae_spa_obs","mae_spa_sim","mae_sim_obs","weighting"
"1","01 Base",1590.83,468.4,1945.1,27.72,19.68,29.86,"none"
"2","01 Base",11059.316539584,5827.803308788,14298.377916095,179.775891386,123.128974413,204.311417055,"weighted"
"3","01 Base",3683.90667832266,1602.62588093292,4673.60056433216,62.0096078250895,42.6679296218221,69.1749259298803,"root-weighted"
"4","02 MODIS-ChlA",1551.02,945.07,1945.1,26.2,20.78,29.86,"none"
"5","02 MODIS-ChlA",10215.662559155,9145.225225705,14298.377916095,171.273263761,146.579960509,204.311417055,"weighted"
"6","02 MODIS-ChlA",3479.34797613811,2672.66233981866,4673.60056433216,58.9875922366575,48.2549107108908,69.1749259298803,"root-weighted"
"7","03 MOM6-ChlA",1949.72,1123.73,1945.1,30.79,23.42,29.86,"none"
"8","03 MOM6-ChlA",13861.499524024,8478.410398694,14298.377916095,209.518973211,143.827881292,204.311417055,"weighted"
"9","03 MOM6-ChlA",4612.86461258168,2802.49774079135,4673.60056433216,71.352843235564,50.7644929610327,69.1749259298803,"root-weighted"
"10","04 MOM6-Vint",1817.04,922.5,1945.1,28.82,20.99,29.86,"none"
"11","04 MOM6-Vint",12975.747030271,7319.883328647,14298.377916095,197.830166109,133.655368233,204.311417055,"weighted"
"12","04 MOM6-Vint",4292.47454680922,2357.13078747501,4673.60056433216,66.9425092965426,46.2240178769225,69.1749259298803,"root-weighted"
