"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 6:10:28 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_01
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production","ChlA (depth integrated)"
"Layer 1 Surface temp","Temperature - surface"
"Layer 2 Bottom temp","Temperature - bottom"
"Layer 3 PP","ChlA (depth integrated)"
"Layer 4 Average temp","Salinity - average"
"Layer 5 Salinity","Salinity - average"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.0232546,0.002671252,0.001947771,0.03299433,0.02456417,0.1750475,0.006853082,0.002838625,0.0433574,0.003390018,0.0153141,0.002408614,0.0006995648,0.009289481,0.01731171,0.00238299,0.0008473254,0.04010057,0.001734457,0.03032371,9.950129E-05,0.04389891,0.0001507624,0.0314831,0.07233796,0.003208526,0.003158143,0.0001080838,0.0008581535,3.952869E-05,0.0009935867,0.0003743172,0.0003287595,0.03592235,0.000361658,0.003042793,0.001272472,1.015495E-05,4.165247E-05,0.001921745,0.06087886,0.01384578,0.05003395,0.004024532,0.01534551,0.001618164,0.0202189,0.01060992,9.042344,0.0001307778,0.02045812,0.1645028,1.61806,0.1479966,0.000735837,0.0003507172,0.01792874,0.1626497,0.350134,0.07901192,0.03188624,0.04430202,0.05122005,0.0246548,0.000241768,2.019384,0.01047059,0.004932638,0.03764616,0.09400665,21.18585,1.635819,5.950216,6.198785,12.11894,4.363365,9.976319,21.87324
2,0.02342585,0.00251997,0.001884101,0.03345105,0.02498493,0.175741,0.007020791,0.002893676,0.04446809,0.003177967,0.01391811,0.002422153,0.0007260696,0.01033829,0.01487767,0.002474114,0.0008256752,0.03966426,0.001730659,0.02980809,9.283289E-05,0.04374683,9.49385E-05,0.02861387,0.07283483,0.003231145,0.00319102,0.0001144846,0.0008884852,3.976848E-05,0.000999508,0.0003783616,0.0003268448,0.03524263,0.0003002716,0.002915532,0.001279266,8.622711E-06,4.127951E-05,0.001912697,0.05987911,0.01287046,0.05297256,0.004021535,0.01553067,0.00157096,0.0176813,0.0103479,9.049855,0.0001309983,0.01943788,0.1633719,1.643803,0.1471666,0.0006669245,0.0003368889,0.01770313,0.164353,0.3404989,0.08165374,0.03122395,0.0458111,0.05092633,0.02437752,0.0002408886,2.020171,0.009758704,0.004034117,0.03558011,0.09004942,21.10931,1.634913,5.965477,6.198809,12.12037,4.374587,9.969028,21.86826
3,0.02357979,0.00238499,0.001829373,0.03386536,0.02536958,0.1764251,0.007191326,0.002972446,0.04557354,0.002986738,0.01254151,0.002419843,0.0007468545,0.01138973,0.01140698,0.002578032,0.0007824617,0.03913995,0.001738766,0.03040241,9.215399E-05,0.04364644,8.496237E-05,0.02615063,0.0731881,0.003457597,0.003270407,0.0001215367,0.0009177895,4.155668E-05,0.001004475,0.0003798209,0.0003341471,0.03450194,0.0003074209,0.002479203,0.001376261,7.360873E-06,4.07738E-05,0.001923363,0.05764079,0.01223496,0.05632166,0.003994179,0.01624965,0.001548402,0.015232,0.01013492,9.066943,0.0001311095,0.01841682,0.1624064,1.676681,0.1472462,0.0006068776,0.0003318719,0.01752212,0.1615895,0.3506188,0.07728692,0.03219871,0.04501295,0.05077139,0.02382731,0.0002399456,2.021837,0.009419279,0.00391967,0.03471773,0.08570635,21.02393,1.632434,5.955766,6.197618,12.11454,4.373534,9.975017,21.87574
4,0.02372687,0.002265027,0.001781854,0.03424839,0.02572544,0.1771751,0.007365094,0.003039504,0.04663187,0.002816465,0.01222274,0.002457043,0.0007657731,0.01250065,0.00918948,0.002680426,0.00074445,0.03821922,0.001752358,0.03112163,9.431334E-05,0.04317303,9.403019E-05,0.0240212,0.0733829,0.003508488,0.003368268,0.0001275241,0.0009504603,4.352772E-05,0.001014739,0.0003827563,0.0003426393,0.03273565,0.0003231086,0.00222181,0.001396943,6.50204E-06,4.012374E-05,0.001913838,0.05451253,0.01175426,0.0601946,0.00393206,0.01681253,0.001533317,0.01472736,0.01003803,9.096459,0.0001316266,0.01828312,0.1607804,1.710475,0.1478681,0.0005545441,0.0003309298,0.01737846,0.1592764,0.3378532,0.08027259,0.02948184,0.0459497,0.05072014,0.02320597,0.0002391112,2.026291,0.009619531,0.004239646,0.03528544,0.08442024,20.94983,1.633397,5.962231,6.197819,12.11658,4.374932,9.974004,21.87662
5,0.02387264,0.002158048,0.001740987,0.03461592,0.02605592,0.1775873,0.007529342,0.003042033,0.04747275,0.002665426,0.01154852,0.002477482,0.0007838812,0.01366831,0.007691195,0.002742225,0.0007148981,0.03683526,0.001746706,0.03043657,8.907536E-05,0.04243283,6.966932E-05,0.0205552,0.07340404,0.003391104,0.003380794,0.0001324873,0.0009838899,4.588857E-05,0.001028105,0.0003858448,0.0003421843,0.02982961,0.0002838466,0.002365182,0.001145085,5.836786E-06,3.917415E-05,0.001868914,0.05207933,0.01079142,0.06459605,0.003797988,0.01677598,0.001494537,0.01370356,0.009817933,9.143155,0.0001321644,0.01788314,0.1576038,1.739869,0.1488922,0.0005089566,0.0003314747,0.01725257,0.1645461,0.3390134,0.07647174,0.03162862,0.04349361,0.05070078,0.02289539,0.0002386871,2.031335,0.009331139,0.003824975,0.03439138,0.08102328,20.88032,1.631446,5.950735,6.196671,12.11152,4.376274,9.979096,21.88334
6,0.02402064,0.002062298,0.001705357,0.03496354,0.02635632,0.1777974,0.007686343,0.002998672,0.04810205,0.00253208,0.01089635,0.002484288,0.0008015397,0.01486429,0.006916936,0.002762829,0.0006899703,0.03562185,0.001728162,0.0294664,8.98451E-05,0.04153452,6.72579E-05,0.01790399,0.073277,0.003259913,0.00334969,0.0001375779,0.001015431,4.824322E-05,0.001043694,0.0003885938,0.000336777,0.02685891,0.0002953183,0.002202763,0.001075774,5.281313E-06,3.795894E-05,0.001822683,0.05073217,0.009979215,0.06952969,0.003629901,0.01655184,0.00144852,0.01275814,0.009657613,9.213904,0.0001321851,0.01744596,0.1531877,1.764225,0.1502277,0.0004692533,0.0003323425,0.01718266,0.1576608,0.3468086,0.08141098,0.03045793,0.04522732,0.05075326,0.02298973,0.0002388557,2.031427,0.009225793,0.003832434,0.03414116,0.07690713,20.83642,1.629859,5.950781,6.197364,12.11091,4.369143,9.980896,21.88488
7,0.02417304,0.001976172,0.001674247,0.0352969,0.02664468,0.1780495,0.007837862,0.002941516,0.04854216,0.002414895,0.00997565,0.00247567,0.0008217013,0.01609787,0.005887264,0.002757461,0.0006705395,0.03475291,0.001730666,0.02857956,8.595663E-05,0.0407812,4.581079E-05,0.01522621,0.07299182,0.003270143,0.003282372,0.0001419508,0.001051996,5.058841E-05,0.001066058,0.0003903198,0.0003312039,0.02442297,0.0002516082,0.001982686,0.001126452,4.780524E-06,3.648316E-05,0.001790312,0.04959217,0.00905517,0.07499899,0.003448049,0.01642878,0.001402397,0.01134007,0.009511474,9.299867,0.0001312428,0.01681292,0.1477822,1.783754,0.1513771,0.0004346813,0.0003331199,0.01712493,0.1648257,0.3408191,0.07988264,0.03229333,0.04414699,0.05082157,0.02339757,0.0002386036,2.030897,0.00877852,0.00330363,0.03277177,0.07150079,20.80723,1.629805,5.941568,6.195279,12.10807,4.360199,9.985216,21.88723
8,0.02433082,0.001899332,0.001647022,0.03560818,0.02692557,0.1785413,0.007987399,0.002911046,0.04914782,0.002312437,0.009288683,0.002459959,0.0008382751,0.01731023,0.004515823,0.002756663,0.0006545263,0.03486408,0.001699244,0.02800186,8.688014E-05,0.0402825,4.324742E-05,0.01354251,0.07298838,0.003321425,0.003218889,0.0001472403,0.00108735,5.337161E-05,0.001085807,0.000391614,0.0003266407,0.0245413,0.000259712,0.001734309,0.001044683,4.333714E-06,3.646279E-05,0.001808335,0.04757442,0.009154332,0.08107234,0.003404001,0.01638421,0.001381774,0.01043181,0.009591206,9.396323,0.0001336523,0.01633011,0.1446848,1.809287,0.1525696,0.0004045942,0.0003356693,0.01703143,0.1605743,0.3511049,0.08090629,0.03133387,0.04536695,0.051005,0.02427751,0.0002413537,2.030688,0.008645536,0.003269245,0.03244149,0.06679351,20.78161,1.627748,5.938894,6.192235,12.10523,4.368976,9.985625,21.88974
9,0.0244966,0.001830717,0.001623194,0.0359132,0.02720047,0.1790803,0.008130105,0.002872972,0.04981677,0.002223655,0.009063966,0.002474324,0.0008561934,0.01856784,0.004288516,0.002756348,0.0006471828,0.03543153,0.001687556,0.02699021,8.785247E-05,0.03929361,4.347118E-05,0.01253433,0.07320839,0.003195479,0.00314043,0.0001536268,0.001115511,5.659069E-05,0.001107171,0.0003942086,0.0003146897,0.02444451,0.000262151,0.001553648,0.0009416433,4.027286E-06,3.688536E-05,0.001814717,0.04739077,0.009022557,0.08780059,0.003382108,0.01597376,0.001357938,0.01043089,0.009758734,9.465106,0.000138159,0.01633633,0.1424807,1.833115,0.1534133,0.0003784219,0.0003384261,0.01699228,0.164026,0.3419328,0.08148774,0.03296589,0.04486922,0.05118816,0.02545771,0.0002441296,2.030886,0.008741618,0.003356564,0.03271716,0.06427372,20.74994,1.62732,5.935477,6.189125,12.10372,4.36451,9.987628,21.89094
10,0.02466242,0.001768148,0.001602254,0.03619662,0.0274677,0.179813,0.008275279,0.002876298,0.05057309,0.002147198,0.00908411,0.002521668,0.0008809389,0.01991306,0.004300495,0.00278795,0.0006474205,0.03694437,0.001728357,0.02708515,8.836196E-05,0.03876162,4.463665E-05,0.01210451,0.07353683,0.003292115,0.003122938,0.0001610031,0.001149961,5.829508E-05,0.00113389,0.0003970771,0.0003064745,0.02578599,0.0002672831,0.001592796,0.0007622567,3.8215E-06,3.758949E-05,0.001856219,0.04855222,0.009576856,0.09513348,0.003403101,0.01591979,0.001355425,0.01089409,0.01008682,9.509978,0.0001431909,0.01663401,0.1411097,1.851465,0.15389,0.0003555573,0.000338781,0.01698616,0.1575666,0.352674,0.08236816,0.03200612,0.04689324,0.05132384,0.0267669,0.0002467189,2.027029,0.008835667,0.003290242,0.03301191,0.06272104,20.70329,1.625134,5.942184,6.187088,12.10202,4.373913,9.987394,21.89489
