"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 6:10:28 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_01
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production","ChlA (depth integrated)"
"Layer 1 Surface temp","Temperature - surface"
"Layer 2 Bottom temp","Temperature - bottom"
"Layer 3 PP","ChlA (depth integrated)"
"Layer 4 Average temp","Salinity - average"
"Layer 5 Salinity","Salinity - average"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
11,0.0233176,0.002611476,0.001919256,0.0331066,0.02473048,0.1756097,0.006916807,0.002862884,0.0437947,0.003305894,0.01537217,0.002427413,0.0007121922,0.009686599,0.01738121,0.002417554,0.0008424646,0.03917958,0.001732794,0.03123314,9.29701E-05,0.04393,0.0001431774,0.03007842,0.07250769,0.003470654,0.003207257,0.0001125132,0.0008912822,3.948633E-05,0.0009976755,0.000375996,0.0003264653,0.03851951,0.0003128579,0.002895847,0.001272434,9.546656E-06,4.129679E-05,0.001922741,0.05989802,0.0121448,0.05153493,0.004019068,0.015506,0.001583192,0.01985518,0.01037451,8.793218,0.0001306725,0.02043336,0.1656493,1.665274,0.1484953,0.0007074901,0.0003236323,0.01767648,0.1853743,0.4147728,0.09568263,0.03840032,0.05065265,0.04656046,0.0240063,0.000239676,1.984387,0.01494013,0.006971098,0.03915365,0.09568679,22.56341,1.741251,9.258741,7.825078,12.79158,2.403638,8.747582,26.35712
12,0.02333278,0.002598793,0.001915962,0.03313319,0.02476013,0.1756817,0.006933777,0.002869148,0.04390294,0.003288467,0.01533932,0.002433385,0.000713926,0.009778755,0.01748597,0.002426942,0.0008438543,0.03991321,0.001734099,0.03099263,9.17069E-05,0.04357121,0.0001489065,0.02999014,0.07254525,0.003411264,0.003223593,0.0001113583,0.0008991628,3.961074E-05,0.001000454,0.0003822903,0.0003258533,0.03745036,0.0003329974,0.002893089,0.001244269,9.513266E-06,4.113566E-05,0.001913044,0.05949254,0.01322559,0.0516334,0.004016482,0.01551607,0.001579201,0.02011675,0.01030276,8.949262,0.0001311141,0.02042134,0.165952,1.673882,0.151062,0.0007029917,0.0003303396,0.0180129,0.1616667,0.4125002,0.099378,0.03747278,0.05047581,0.05180058,0.02528611,0.0002381398,2.123938,0.01300135,0.006749177,0.04627296,0.09719837,23.05459,1.920245,8.444783,7.298414,10.02486,2.668429,6.437698,21.26759
13,0.02335116,0.002586412,0.001912916,0.03318337,0.02479302,0.1757619,0.006950565,0.002874605,0.04400827,0.003271277,0.01508713,0.002435298,0.0007155449,0.009866889,0.01711044,0.00243563,0.0008433642,0.03965877,0.001735313,0.02993469,9.552355E-05,0.0435061,0.0001225929,0.02941533,0.07263129,0.003145843,0.003198851,0.000110161,0.0008760011,3.984293E-05,0.001002045,0.0003791539,0.0003259278,0.0351059,0.0003239588,0.002869404,0.001187203,9.444515E-06,4.091953E-05,0.001902733,0.05938834,0.01399691,0.05170751,0.0040164,0.01550037,0.001578362,0.02002215,0.01024848,9.064844,0.000131349,0.02028074,0.1659835,1.673476,0.1512496,0.000698306,0.0003385677,0.018384,0.1405052,0.391023,0.0971147,0.03486314,0.04969743,0.05296216,0.02557405,0.0002362849,2.260449,0.01031206,0.005172559,0.04602954,0.09754448,23.16962,1.911792,6.937757,6.598172,8.058138,3.389344,5.062703,16.41448
14,0.02336987,0.00257425,0.001909611,0.03325366,0.02482808,0.1757861,0.006966249,0.002878984,0.04410767,0.003253532,0.01479292,0.002435994,0.0007171031,0.009953653,0.01664199,0.002443328,0.000842183,0.0395595,0.001735291,0.02901903,9.628513E-05,0.04356429,0.0001080352,0.02913127,0.07272874,0.002933201,0.003151264,0.0001094637,0.0008488799,3.985106E-05,0.001002536,0.0003728504,0.0003264831,0.03270631,0.0003141467,0.002893653,0.001159142,9.337904E-06,4.075189E-05,0.001895747,0.05956794,0.01474748,0.05177773,0.004019591,0.01546827,0.001578906,0.01972363,0.01027111,9.207829,0.0001313802,0.0201073,0.1654402,1.661758,0.1507788,0.0006932509,0.0003465725,0.01850879,0.1262375,0.35641,0.09023447,0.03153594,0.04687916,0.05466443,0.02577714,0.000236375,2.315699,0.007967435,0.004079991,0.04514722,0.09661467,22.5552,1.852911,5.326022,5.755395,7.179237,4.420982,4.668647,13.19484
15,0.02338609,0.002562184,0.001905595,0.03333289,0.0248633,0.1757258,0.00697997,0.002881988,0.04419737,0.003236387,0.01450876,0.002434739,0.0007184747,0.01003972,0.01618657,0.002450308,0.0008406623,0.04073457,0.001733406,0.02915284,9.78371E-05,0.04359734,9.861119E-05,0.029192,0.07278068,0.003008151,0.003127173,0.0001105906,0.0008472126,3.988305E-05,0.001001933,0.0003723084,0.0003271921,0.0323112,0.0003116614,0.002866088,0.001155814,9.191166E-06,4.10442E-05,0.001896754,0.05991585,0.01539698,0.05184464,0.004021224,0.0154331,0.001581018,0.01915878,0.01036139,9.329171,0.0001313509,0.01992789,0.1642836,1.639454,0.1503638,0.0006877899,0.0003536304,0.01831848,0.1179479,0.3218865,0.08126412,0.02869345,0.04386107,0.05771637,0.02612509,0.0002376497,2.263949,0.00640788,0.003475388,0.04322857,0.09443559,21.48648,1.791597,4.043077,4.960148,7.791938,5.812621,5.694198,11.9815
16,0.02339745,0.002550086,0.001900886,0.03340614,0.02489621,0.1755506,0.006991414,0.002883996,0.04427473,0.003219461,0.01423867,0.002431555,0.0007196279,0.01012543,0.01575732,0.002457096,0.000838845,0.042298,0.001730441,0.02979235,9.598777E-05,0.04345575,9.293316E-05,0.029529,0.07278525,0.003248437,0.003146633,0.0001119567,0.0008750942,3.992094E-05,0.0009999659,0.0003849582,0.0003277713,0.03445164,0.000321691,0.002892897,0.001197921,9.010824E-06,4.152114E-05,0.001905091,0.06039688,0.01586977,0.0519166,0.004026562,0.01540173,0.001581986,0.01842022,0.01050589,9.404667,0.0001313219,0.01974777,0.1627823,1.613581,0.149321,0.0006819704,0.0003592855,0.01790174,0.1165889,0.2948638,0.0718677,0.02718855,0.04133608,0.06043087,0.02644766,0.0002388626,2.137928,0.006410775,0.003173341,0.04099777,0.09141108,20.38583,1.731215,3.299592,4.406753,9.660197,7.022573,8.171222,13.47763
17,0.02340618,0.002537759,0.001894799,0.03346609,0.02492873,0.1753514,0.007001356,0.002885984,0.04434337,0.003202624,0.01399781,0.002427394,0.0007206808,0.01021126,0.01536877,0.00246431,0.0008366785,0.04269209,0.001727827,0.03055277,9.560991E-05,0.04343233,9.118588E-05,0.02999218,0.07277083,0.00345488,0.00318043,0.0001129772,0.0009024415,3.965991E-05,0.0009972178,0.0003969255,0.0003280576,0.03739962,0.0003265081,0.003004668,0.001300165,8.811707E-06,4.204426E-05,0.001917213,0.06092471,0.0151701,0.05203616,0.004037088,0.01539137,0.001585729,0.01768618,0.01064346,9.326955,0.0001312838,0.0195728,0.1614604,1.594812,0.1479738,0.0006759051,0.000357937,0.01742598,0.1266087,0.2829154,0.06417206,0.02736389,0.04006096,0.05979703,0.02608051,0.0002412627,1.986323,0.007331952,0.003219893,0.03868911,0.08845514,19.80456,1.708199,3.145827,4.332062,12.0805,7.080412,11.55795,17.61141
18,0.023418,0.002525343,0.00188772,0.03350893,0.02496544,0.1752946,0.007011355,0.00288927,0.04441319,0.003185856,0.01382385,0.002423513,0.0007230856,0.01029832,0.01501302,0.002472422,0.0008334122,0.04155492,0.00172735,0.03074513,9.506824E-05,0.04378422,9.132609E-05,0.03026297,0.07278148,0.003441574,0.00320926,0.0001142136,0.0009193992,3.949914E-05,0.0009955398,0.0003936007,0.0003284547,0.03751649,0.0003284701,0.003148069,0.001368814,8.613194E-06,4.206286E-05,0.001927485,0.06133988,0.01377945,0.05240026,0.004051181,0.01543521,0.001591029,0.01751932,0.01072272,9.184005,0.0001311538,0.01942612,0.1610315,1.591032,0.1461459,0.000669593,0.0003497977,0.01721075,0.1487289,0.2902375,0.06031414,0.02834788,0.04013637,0.05488405,0.02497897,0.000244351,1.870999,0.008523888,0.003249808,0.03353458,0.08626978,19.49385,1.590032,3.601088,4.846208,14.02089,5.759549,13.99673,23.28177
19,0.0234314,0.002513295,0.001880222,0.03353246,0.02500482,0.1754049,0.007022361,0.002893442,0.04448786,0.003169398,0.0136987,0.002420648,0.0007262715,0.01038032,0.01455544,0.002478682,0.0008267227,0.03997057,0.001727886,0.03009219,9.360914E-05,0.04398353,8.960424E-05,0.02988175,0.07283237,0.003254692,0.003216997,0.0001150192,0.0009037738,3.944253E-05,0.0009947966,0.0003837892,0.0003284942,0.03599143,0.0003140278,0.003181511,0.001372051,8.432786E-06,4.186001E-05,0.001933555,0.06138449,0.01230833,0.05288242,0.004057914,0.01549598,0.001592064,0.01750364,0.01068203,9.031746,0.0001309402,0.01930363,0.1613706,1.602338,0.1436506,0.0006629721,0.0003401609,0.01725331,0.1738089,0.3077958,0.06132363,0.02939238,0.04094664,0.04915319,0.02369365,0.0002461338,1.800991,0.009296034,0.003100508,0.02815297,0.08518448,19.47743,1.429784,4.61142,5.770505,15.65308,4.505941,15.40782,27.78778
20,0.02344516,0.00250156,0.001872984,0.03354106,0.02504501,0.1756763,0.007035407,0.002898344,0.04457208,0.003152584,0.01361395,0.002418397,0.0007298306,0.01046195,0.01407122,0.002483096,0.0008176655,0.0383136,0.001728739,0.02916739,8.974146E-05,0.04397982,8.709724E-05,0.02883938,0.07290924,0.003062539,0.003198353,0.0001154102,0.0008795332,3.953018E-05,0.0009954392,0.0003720928,0.0003280563,0.03409384,0.0002897713,0.003087285,0.001361822,8.282996E-06,4.160354E-05,0.001930165,0.06083881,0.01094809,0.05341825,0.004048237,0.01554528,0.001584186,0.01708841,0.01051604,8.880012,0.0001307165,0.01919914,0.1622477,1.625711,0.1414176,0.0006563842,0.0003304625,0.01728941,0.1981322,0.3308761,0.06805693,0.03133157,0.04344693,0.04370844,0.0224059,0.0002454102,1.785292,0.009960986,0.002971337,0.02340728,0.08537301,19.75147,1.277649,6.133485,6.852139,16.34987,3.663879,14.77131,30.75867
