"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 6:10:28 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_01
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production","ChlA (depth integrated)"
"Layer 1 Surface temp","Temperature - surface"
"Layer 2 Bottom temp","Temperature - bottom"
"Layer 3 PP","ChlA (depth integrated)"
"Layer 4 Average temp","Salinity - average"
"Layer 5 Salinity","Salinity - average"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
55,0.02387672,0.002153503,0.001738189,0.03469643,0.02607469,0.1772219,0.007530421,0.003038492,0.04747747,0.002658773,0.01142546,0.002478094,0.0007835968,0.01371752,0.007609603,0.00274538,0.0007159768,0.03709074,0.001743377,0.03071473,8.97451E-05,0.04263543,6.545447E-05,0.02116466,0.07337795,0.003401658,0.003407718,0.0001332212,0.001001444,4.5868E-05,0.001024125,0.0003916041,0.0003439034,0.03025798,0.0003050943,0.002617681,0.001212474,5.711902E-06,3.976524E-05,0.00188805,0.05354744,0.01018147,0.0645289,0.003826539,0.01671358,0.001516241,0.01374069,0.0101678,9.130373,0.0001321201,0.01781749,0.1555234,1.696592,0.1454397,0.0005061132,0.0003356563,0.01682716,0.1843904,0.2943307,0.05519351,0.03012808,0.03868534,0.04897068,0.02222774,0.0002439769,1.8117,0.008985685,0.002994285,0.02712547,0.07636275,19.26781,1.426882,4.60052,5.770735,15.64091,4.503479,15.41998,27.81529
56,0.02388934,0.002145009,0.001732707,0.03469829,0.02610551,0.1774776,0.00754328,0.003037802,0.04753721,0.002647488,0.0114248,0.002477135,0.000786717,0.01380816,0.007396814,0.002745645,0.0007083845,0.0354065,0.001742566,0.02977038,8.605883E-05,0.0426253,6.480923E-05,0.02059653,0.07341849,0.003195859,0.003383366,0.0001338442,0.0009735116,4.610756E-05,0.001025215,0.0003794786,0.000343348,0.02847124,0.0002796003,0.00257682,0.001191933,5.632755E-06,3.946754E-05,0.001882669,0.05300973,0.008905998,0.06524568,0.003807635,0.01674042,0.001508672,0.01353662,0.0100148,8.979747,0.0001319345,0.01777383,0.1561607,1.720682,0.1432311,0.0005012326,0.0003266412,0.01686678,0.2047095,0.3222238,0.06120924,0.03284343,0.04057591,0.04356812,0.02097269,0.0002432792,1.795474,0.009655986,0.002876463,0.02250391,0.07653344,19.54156,1.275121,6.116299,6.852668,16.33853,3.657145,14.78139,30.78035
57,0.02390276,0.002136452,0.001728198,0.03469306,0.02613273,0.1777527,0.007557231,0.003036711,0.04760226,0.002635782,0.01142255,0.002474014,0.0007896691,0.01390658,0.007313355,0.002747763,0.0007036935,0.03376104,0.001741371,0.02982219,8.772438E-05,0.04319784,6.709475E-05,0.02005579,0.07342993,0.00315736,0.003361219,0.0001352714,0.0009627406,4.612157E-05,0.001029021,0.0003675343,0.0003422725,0.02831193,0.0002632452,0.002515801,0.001185585,5.584352E-06,3.908987E-05,0.001875896,0.05218942,0.007799929,0.06596415,0.003778021,0.01679206,0.001495438,0.01340559,0.009825485,8.80858,0.0001316891,0.01772368,0.156841,1.748785,0.1438433,0.0004971332,0.0003173938,0.01704579,0.2136785,0.3580385,0.07295709,0.03582332,0.0434801,0.03870457,0.0197701,0.0002430385,1.830973,0.01136573,0.0037937,0.01923151,0.07776068,20.07631,1.219485,7.770514,7.73802,16.41934,3.088367,13.54925,30.83244
58,0.02391221,0.002128019,0.001725339,0.03468132,0.02615468,0.1778488,0.00757215,0.003035078,0.04767007,0.002624039,0.01134743,0.002470531,0.000791185,0.01400704,0.007253268,0.002751457,0.0007017723,0.03410034,0.001739973,0.03034942,8.64844E-05,0.04273192,6.552342E-05,0.01928957,0.07338622,0.003408636,0.003379298,0.0001371829,0.0009927192,4.627087E-05,0.001031052,0.0003706241,0.000340802,0.02996153,0.000245634,0.002359703,0.001138815,5.565917E-06,3.874307E-05,0.00186635,0.05119595,0.00802306,0.06657036,0.003744964,0.01682569,0.001476462,0.01309289,0.009641835,8.80497,0.0001315955,0.01765981,0.1573062,1.772681,0.1464323,0.0004942784,0.0003088945,0.01702172,0.2065041,0.3924706,0.08503887,0.03809107,0.04655632,0.04094579,0.0205052,0.0002409546,1.893312,0.0133509,0.004920915,0.02657261,0.0793494,21.25278,1.445374,8.953454,8.007161,15.40249,2.654432,11.58332,29.49079
59,0.02392265,0.002119767,0.001723628,0.03467857,0.02617349,0.1779056,0.007588398,0.00303433,0.04774416,0.002612836,0.01125058,0.002469194,0.0007920788,0.01410816,0.007201403,0.002755813,0.0007008722,0.03540625,0.001739475,0.03089179,8.48777E-05,0.04220211,6.681703E-05,0.01869295,0.07333355,0.003617411,0.003410158,0.0001367032,0.0010228,4.668617E-05,0.001033807,0.0003852535,0.0003395079,0.03106344,0.0002438502,0.002263456,0.001083982,5.57109E-06,3.846022E-05,0.00185277,0.05028661,0.008932593,0.0669143,0.003717012,0.01683423,0.001456712,0.01289028,0.009476456,8.914851,0.0001319744,0.0176002,0.157622,1.790317,0.1502327,0.0004920912,0.0003116232,0.0170447,0.1897553,0.4096821,0.09428681,0.03886541,0.04888786,0.04624734,0.02223977,0.0002369006,1.997168,0.01339145,0.005437,0.03596268,0.08084384,22.23897,1.735698,9.238622,7.819503,12.78144,2.400099,8.756129,26.3634
60,0.0239358,0.002111854,0.001722712,0.03469539,0.02619385,0.1779365,0.007604857,0.003034376,0.04782133,0.002601895,0.01115073,0.002470563,0.0007928244,0.01421001,0.007153973,0.002760854,0.0007002816,0.03604256,0.001740051,0.03057652,8.376841E-05,0.04178762,6.974815E-05,0.01842296,0.07332355,0.003546731,0.003427458,0.0001353143,0.001029891,4.689192E-05,0.001036993,0.0003915989,0.0003388296,0.02994503,0.0002615197,0.002227224,0.001052066,5.585621E-06,3.822839E-05,0.001840096,0.04973255,0.009953288,0.06714419,0.003701494,0.0168263,0.001452599,0.01294905,0.009391841,9.074225,0.0001324824,0.01755426,0.1577137,1.799615,0.1530766,0.000490069,0.000319557,0.01737685,0.168445,0.4066134,0.0981455,0.03811309,0.04847587,0.05146485,0.02351065,0.0002354711,2.137009,0.01140735,0.005125787,0.04277367,0.08205719,22.72152,1.913831,8.423989,7.29226,10.01492,2.662279,6.446444,21.27647
61,0.02395234,0.002104206,0.001722029,0.03473689,0.02621769,0.1779765,0.007620858,0.003031058,0.04788579,0.002590662,0.01107827,0.002475047,0.0007936805,0.01431218,0.007126199,0.002763501,0.000699803,0.03575491,0.001740647,0.02949426,8.880121E-05,0.04162445,7.208285E-05,0.01829195,0.07335581,0.003242474,0.003396701,0.0001335079,0.0009993732,4.738844E-05,0.001039576,0.0003884094,0.000338537,0.02768409,0.0002809091,0.002182444,0.0009942483,5.591211E-06,3.791942E-05,0.001826269,0.04967568,0.01074046,0.06734362,0.003687249,0.01676624,0.001452001,0.01307464,0.009365734,9.192631,0.000132723,0.01753393,0.1574494,1.799088,0.153519,0.0004878421,0.0003289899,0.01775125,0.1454587,0.3897503,0.09753267,0.03563177,0.04760453,0.05265404,0.02384939,0.0002336977,2.273764,0.008968651,0.00416239,0.04291641,0.08257952,22.83771,1.904977,6.91842,6.592268,8.048409,3.382121,5.07141,16.42223
62,0.02396932,0.002096721,0.001721057,0.03479984,0.02624162,0.1779622,0.007635711,0.003025756,0.04794066,0.002579407,0.01101482,0.002480364,0.0007945775,0.01441403,0.007104102,0.002764479,0.0006993569,0.03563866,0.001739714,0.02857739,9.15908E-05,0.04158822,7.026806E-05,0.01821884,0.07339825,0.003004356,0.003335458,0.0001326935,0.0009646834,4.784374E-05,0.001041305,0.0003819906,0.0003386456,0.02546383,0.000289336,0.002169988,0.0009646629,5.572504E-06,3.766528E-05,0.001815896,0.04995183,0.01152201,0.0675382,0.003676559,0.01668266,0.001452945,0.01314022,0.009428842,9.338332,0.0001327195,0.01752073,0.1566093,1.786435,0.1532875,0.0004852226,0.0003381312,0.01789007,0.1281709,0.3597154,0.09161524,0.03184575,0.04532227,0.05437147,0.02411949,0.0002338286,2.328989,0.006915649,0.00355153,0.0425358,0.08203322,22.23536,1.845751,5.309803,5.74973,7.169166,4.413906,4.678463,13.20116
63,0.02398397,0.002089291,0.001719356,0.03487244,0.02626504,0.177864,0.007648588,0.003018786,0.04798453,0.002568186,0.01095225,0.002484079,0.0007953469,0.01451511,0.00708172,0.002764266,0.0006988628,0.03677719,0.001736521,0.02873453,9.472587E-05,0.04153267,6.69291E-05,0.01827163,0.07339585,0.00305965,0.003308026,0.0001341343,0.0009619512,4.790699E-05,0.001041428,0.0003816121,0.0003388846,0.0250029,0.0002983523,0.002141165,0.0009532925,5.522972E-06,3.789663E-05,0.00181389,0.05039566,0.01220392,0.06772824,0.003665335,0.01659557,0.00145569,0.01302048,0.009561936,9.465166,0.0001326359,0.01750461,0.1551827,1.762467,0.1531026,0.0004821808,0.0003462274,0.01772477,0.116175,0.3296674,0.08241659,0.02843225,0.04293764,0.05741899,0.02453713,0.0002351727,2.276886,0.005608496,0.003210511,0.04106975,0.08034144,21.18512,1.784217,4.030416,4.954995,7.780454,5.807416,5.707509,11.9887
64,0.02399395,0.002081774,0.001716769,0.03493946,0.02628852,0.1776515,0.007659124,0.003010954,0.04801587,0.002557459,0.01088138,0.002485642,0.0007959293,0.01461588,0.007052041,0.002763791,0.0006982726,0.03829549,0.001732081,0.02940753,9.376428E-05,0.04129722,6.405275E-05,0.01837458,0.07334631,0.003298592,0.003316329,0.0001356417,0.0009970528,4.800631E-05,0.001040192,0.0003951312,0.0003389841,0.0264998,0.0003126729,0.002151359,0.0009837847,5.445858E-06,3.83333E-05,0.001819658,0.05096196,0.0127038,0.06792344,0.003658834,0.01651405,0.001457849,0.01274595,0.009747405,9.552293,0.0001325581,0.01747864,0.1534282,1.734603,0.1522607,0.0004787609,0.0003528126,0.01734145,0.1145855,0.3028089,0.07231815,0.0264815,0.04091088,0.06013137,0.02492726,0.0002364974,2.150372,0.005802104,0.003033194,0.03920451,0.07783148,20.10427,1.723846,3.289935,4.402612,9.646538,7.020193,8.189823,13.48982
65,0.0240014,0.00207402,0.0017129,0.03499237,0.02631237,0.1774163,0.007668106,0.003003476,0.04803952,0.002546876,0.01081889,0.002485843,0.0007964708,0.01471707,0.007030022,0.002763979,0.000697499,0.03865711,0.00172796,0.03020215,9.344905E-05,0.04123326,6.445675E-05,0.01857935,0.07327939,0.003492707,0.003352261,0.000135939,0.001032591,4.796073E-05,0.001038517,0.0004080124,0.0003387724,0.02871553,0.0003283949,0.002243556,0.001066786,5.351869E-06,3.882825E-05,0.001829535,0.05155718,0.01204626,0.06817932,0.003658161,0.01645703,0.001462844,0.01246228,0.009922246,9.487371,0.0001324908,0.01744626,0.151841,1.714052,0.1510597,0.0004750701,0.0003523839,0.01689912,0.1231927,0.2911939,0.06404466,0.02591092,0.04024104,0.05953823,0.024623,0.0002390491,1.998161,0.006857147,0.003133557,0.03717975,0.07530032,19.53859,1.701222,3.138104,4.329962,12.06568,7.079476,11.57884,17.6335
66,0.02401218,0.002066095,0.001708039,0.03502765,0.02634098,0.1773289,0.007677105,0.002997719,0.04806556,0.002536363,0.01080992,0.002485908,0.0007984452,0.0148201,0.00701164,0.002765349,0.0006958373,0.03749115,0.001726012,0.03041905,9.244368E-05,0.04156358,6.561062E-05,0.01870115,0.07324037,0.003466093,0.0033788,0.0001372721,0.001052668,4.839221E-05,0.001038165,0.0004046898,0.0003386704,0.0286268,0.000334545,0.002375185,0.001130374,5.256018E-06,3.880368E-05,0.001837768,0.05204589,0.01073867,0.06875015,0.003661443,0.01645902,0.001468935,0.01263272,0.01003474,9.351935,0.0001323432,0.01743026,0.1510935,1.709221,0.1492865,0.0004710834,0.0003453414,0.01670802,0.1417889,0.2987668,0.05956781,0.0266116,0.0405217,0.05469753,0.02358126,0.0002423201,1.882286,0.008137719,0.003189023,0.03226549,0.07340343,19.2395,1.584243,3.593433,4.846591,14.00685,5.756853,14.01402,23.31226
67,0.02402476,0.002058287,0.001702743,0.0350428,0.02637284,0.1774175,0.007687161,0.002993056,0.04809723,0.002526164,0.01083575,0.002486525,0.0008012677,0.01491438,0.006901916,0.002764391,0.0006909967,0.03588666,0.001724969,0.02977209,9.109236E-05,0.04174403,6.571443E-05,0.01848616,0.07324317,0.003269875,0.003373604,0.0001382487,0.001033219,4.828233E-05,0.001039157,0.0003944728,0.0003382006,0.02721353,0.000323191,0.002413588,0.00114612,5.172019E-06,3.854585E-05,0.001841977,0.05219046,0.009386062,0.06946801,0.00365761,0.01648171,0.001470435,0.01290173,0.01002331,9.204002,0.0001321103,0.01742662,0.1510729,1.720197,0.146798,0.0004666891,0.0003365648,0.01676385,0.1678494,0.3116068,0.05950667,0.02759064,0.04117954,0.04902661,0.02235196,0.0002442577,1.811776,0.008967233,0.003055316,0.02708828,0.07249831,19.23032,1.42529,4.602054,5.772887,15.64064,4.501526,15.41982,27.81809
68,0.02403787,0.002050597,0.00169768,0.03504264,0.02640265,0.1776769,0.007699368,0.002989136,0.04813866,0.002516261,0.0108896,0.002487305,0.0008045023,0.01500668,0.006756683,0.002761071,0.000683946,0.0342208,0.00172406,0.0288446,8.722319E-05,0.04171085,6.566229E-05,0.01809876,0.07327323,0.00306049,0.003350838,0.000138926,0.001004232,4.824863E-05,0.00104168,0.0003822546,0.0003372437,0.02557169,0.0003022973,0.002358273,0.001150577,5.110055E-06,3.822541E-05,0.001836556,0.05177758,0.008168906,0.07025116,0.003637516,0.01649505,0.001462742,0.01280518,0.009883213,9.054028,0.0001318591,0.01743064,0.1515753,1.74397,0.1445611,0.0004622383,0.0003274956,0.01680773,0.1895914,0.3337429,0.06636585,0.02968045,0.04338203,0.04362159,0.02111705,0.0002436028,1.795574,0.009667162,0.00293695,0.02251464,0.07278672,19.50694,1.274225,6.120823,6.855481,16.34059,3.658954,14.77852,30.78382
69,0.02405175,0.002042857,0.00169358,0.03503544,0.026429,0.1779559,0.007712638,0.002984803,0.04818498,0.002505968,0.01093732,0.002485835,0.0008075675,0.01510771,0.006734852,0.002759627,0.0006798467,0.03259496,0.001722738,0.028918,8.87127E-05,0.04227639,6.799867E-05,0.01766667,0.07327423,0.003027607,0.003320663,0.0001408815,0.0009928053,4.831397E-05,0.001046515,0.0003702268,0.0003357911,0.02550017,0.0002860016,0.002287439,0.00116689,5.076849E-06,3.782153E-05,0.001829765,0.05111106,0.007123199,0.07103676,0.003607096,0.0165332,0.001449469,0.01277465,0.009706275,8.883756,0.0001315428,0.01742503,0.1521291,1.771781,0.1451519,0.0004585717,0.0003181882,0.01699152,0.2019824,0.363238,0.07904167,0.03194045,0.04650269,0.03875483,0.01993084,0.0002433999,1.831065,0.01140269,0.003868938,0.01927233,0.07411602,20.04427,1.219037,7.777869,7.741299,16.42311,3.091115,13.54557,30.83411
70,0.02406159,0.002035237,0.001691098,0.0350219,0.02644999,0.1780545,0.007726855,0.002979964,0.04823378,0.002495645,0.01090619,0.00248392,0.000809222,0.0152113,0.006731953,0.002759852,0.000678544,0.03295224,0.001721256,0.02946807,8.70707E-05,0.04178807,6.648537E-05,0.01707159,0.07322028,0.003280985,0.003333337,0.0001424231,0.001025191,4.847399E-05,0.001048974,0.0003733872,0.0003339675,0.027023,0.0002627206,0.002123371,0.001143146,5.071848E-06,3.74483E-05,0.001820264,0.05029938,0.007394691,0.07170261,0.003573664,0.01655447,0.001430752,0.01255464,0.009534276,8.883349,0.0001313799,0.01740258,0.1524828,1.795319,0.147745,0.0004561554,0.0003096195,0.01697373,0.2023879,0.3873209,0.09359898,0.03361768,0.04992649,0.04099811,0.02068147,0.0002413285,1.893457,0.01341213,0.005027107,0.02664408,0.07581703,21.2207,1.445269,8.961257,8.009651,15.40652,2.65648,11.58232,29.48998
71,0.02407248,0.002027803,0.001689777,0.03501763,0.02646785,0.1781149,0.007742433,0.002976138,0.04828944,0.002485793,0.0108485,0.0024841,0.0008102734,0.01531584,0.006734133,0.002760894,0.0006782945,0.03427289,0.001720716,0.03003092,8.517494E-05,0.04124654,6.761076E-05,0.01663515,0.0731581,0.003490326,0.00336103,0.0001415435,0.00105682,4.879788E-05,0.001052496,0.0003882191,0.000332327,0.02803242,0.0002561507,0.00201847,0.001108999,5.089191E-06,3.713824E-05,0.00180665,0.04958488,0.008339407,0.07208704,0.003545526,0.01655122,0.001411283,0.01243144,0.009379247,8.996346,0.0001317017,0.01738141,0.1526971,1.812467,0.1515559,0.000454406,0.0003122601,0.01700224,0.1897239,0.3995704,0.1037825,0.03417266,0.05235865,0.04630381,0.02243384,0.000237269,1.997455,0.01347235,0.005564677,0.03607365,0.07742827,22.20598,1.735891,9.243031,7.820637,12.78514,2.401066,8.756869,26.36483
72,0.02408613,0.002020687,0.001689252,0.03503347,0.02648733,0.1781495,0.007758155,0.002973214,0.04834866,0.00247618,0.01078337,0.002486893,0.0008111933,0.01542128,0.006737981,0.002762748,0.0006783833,0.0349201,0.001721269,0.02972819,8.409253E-05,0.04080892,7.022304E-05,0.01645205,0.07313902,0.003425804,0.00336923,0.0001397233,0.001064591,4.930346E-05,0.001056323,0.0003947194,0.0003312997,0.0269731,0.0002692477,0.001968324,0.001100406,5.115363E-06,3.688146E-05,0.001793973,0.04923449,0.009383194,0.07234773,0.003529815,0.01653182,0.00140729,0.01255378,0.009304131,9.157633,0.0001321571,0.01737081,0.1526914,1.821107,0.1544049,0.0004528191,0.0003200944,0.01733811,0.1710228,0.3943218,0.1071411,0.03357957,0.05184041,0.05152258,0.02372408,0.0002358447,2.137343,0.01149818,0.005256014,0.04292922,0.07874975,22.68824,1.914336,8.424222,7.29225,10.01783,2.660606,6.447602,21.28007
73,0.0241031,0.002013817,0.001688953,0.03507438,0.02651038,0.178197,0.007773852,0.002969634,0.04839838,0.002466321,0.01061459,0.002488198,0.0008123438,0.01552808,0.006607813,0.0027637,0.0006785506,0.034667,0.001724396,0.02864047,8.69284E-05,0.04068948,6.147247E-05,0.0161721,0.07315624,0.003154421,0.003331964,0.0001377143,0.00103279,4.990998E-05,0.001059397,0.0003913701,0.0003311372,0.02491406,0.0002621089,0.001924948,0.001061111,5.118714E-06,3.654432E-05,0.001781999,0.04917696,0.0101123,0.07257546,0.003514155,0.01649252,0.001406533,0.01253598,0.009274554,9.276047,0.0001323046,0.01728685,0.1523456,1.819912,0.1548178,0.0004510223,0.0003294179,0.01770895,0.1524132,0.3730266,0.1025694,0.03224472,0.05011596,0.0527067,0.02409545,0.0002339669,2.273895,0.008922374,0.003966338,0.04262917,0.07892362,22.80412,1.905661,6.916334,6.5916,8.05064,3.374555,5.072581,16.42579
74,0.02412053,0.002007111,0.001688362,0.03513702,0.02653345,0.1781896,0.007788464,0.002964924,0.04843914,0.002456438,0.01043246,0.002489215,0.0008135638,0.0156346,0.006455858,0.002763449,0.0006786779,0.03459189,0.00172685,0.02771674,8.888785E-05,0.0407025,5.345128E-05,0.01594746,0.07318158,0.002938659,0.003270701,0.000136641,0.000996537,5.024748E-05,0.001061938,0.0003846892,0.0003315308,0.02292389,0.0002554826,0.001913292,0.001042672,5.09407E-06,3.626375E-05,0.001773984,0.04937834,0.01080529,0.07279699,0.003501725,0.01643923,0.001407228,0.01239776,0.009329016,9.42133,0.0001321918,0.01718761,0.151444,1.806637,0.1545488,0.0004488321,0.000338477,0.01784263,0.1364047,0.3439092,0.09330314,0.03030968,0.04647895,0.05441822,0.02440101,0.0002339869,2.328844,0.006752734,0.003163726,0.04176818,0.07794017,22.20186,1.846512,5.307107,5.748365,7.170737,4.400894,4.679422,13.20306
75,0.02413552,0.002000453,0.001687036,0.03520955,0.02655621,0.1780964,0.007801086,0.002958805,0.04846902,0.002446588,0.01026115,0.002488687,0.0008146533,0.01573993,0.006310926,0.002762197,0.000678675,0.03577485,0.001727372,0.02787182,9.137308E-05,0.04068384,4.675831E-05,0.01584273,0.07316476,0.003019129,0.003239705,0.0001377618,0.0009946323,5.028382E-05,0.001063338,0.0003840782,0.0003321042,0.0225752,0.0002550984,0.001891369,0.001036531,5.038437E-06,3.647484E-05,0.001774392,0.04972689,0.01138845,0.07301375,0.003488824,0.01638409,0.001409765,0.01206893,0.009450596,9.548545,0.0001319954,0.01708806,0.1499764,1.782135,0.1543251,0.0004462141,0.0003465319,0.01767329,0.1281921,0.3122122,0.08281242,0.02859291,0.0428085,0.05746561,0.02485436,0.0002352256,2.276597,0.005376996,0.002755281,0.03991497,0.0758496,21.15207,1.784881,4.027749,4.952924,7.781212,5.789456,5.709095,11.98811
76,0.02414566,0.001993716,0.001684793,0.03527622,0.02657877,0.1778864,0.007811325,0.002951875,0.04848662,0.002437162,0.01009811,0.002486334,0.0008155425,0.01584448,0.006173215,0.00276078,0.0006784827,0.03733985,0.001726672,0.02854242,9.020405E-05,0.04047861,4.204757E-05,0.01577652,0.07309942,0.003273989,0.00325297,0.0001393494,0.001032867,5.028113E-05,0.001062937,0.0003974803,0.0003325538,0.02397897,0.0002647034,0.001907277,0.001068014,4.956169E-06,3.689571E-05,0.001782552,0.05018907,0.01178985,0.07323603,0.003480741,0.01633381,0.001411945,0.01160649,0.009623297,9.637969,0.0001318104,0.0169866,0.148191,1.753828,0.1534473,0.000443215,0.0003531229,0.01728834,0.1269564,0.286849,0.07189513,0.02776159,0.03991271,0.06017982,0.02527975,0.0002364543,2.150041,0.005522871,0.002567956,0.03777309,0.07301066,20.07196,1.724281,3.287102,4.399981,9.646103,7.00193,8.193167,13.48764
77,0.0241533,0.001986745,0.001681278,0.03532869,0.02660173,0.1776526,0.007819963,0.00294525,0.04849674,0.002427854,0.009958509,0.002482861,0.0008163649,0.01594907,0.006056861,0.002760071,0.0006780217,0.03774584,0.00172611,0.02933129,8.899622E-05,0.04045397,4.121755E-05,0.01581251,0.0730166,0.003485989,0.003289982,0.0001401373,0.001069797,5.053742E-05,0.001061433,0.0004102468,0.0003326986,0.02607362,0.0002759769,0.002003186,0.001148017,4.858161E-06,3.737866E-05,0.001794714,0.05066938,0.01105617,0.07352406,0.003478521,0.01630598,0.001416968,0.01116808,0.009785585,9.575239,0.0001316454,0.01688597,0.1465672,1.732969,0.1522116,0.0004399417,0.000352766,0.01684534,0.135552,0.2759059,0.06358163,0.02815462,0.03838212,0.05959116,0.02500926,0.0002389193,1.997862,0.006527466,0.002660024,0.03556748,0.07019047,19.50771,1.701383,3.134676,4.327307,12.06367,7.066801,11.58386,17.63216
78,0.0241643,0.00197961,0.00167678,0.03536327,0.02662962,0.177569,0.007828644,0.002940309,0.0485101,0.002418596,0.009883923,0.00247931,0.0008185809,0.01605513,0.005956574,0.002760546,0.0006766138,0.03661775,0.001727463,0.02953796,8.72898E-05,0.04081682,4.118796E-05,0.01580769,0.07296214,0.003484596,0.003308367,0.0001418369,0.001090602,5.039851E-05,0.001061478,0.0004066506,0.0003329451,0.02603726,0.0002812049,0.002138347,0.00120635,4.75905E-06,3.734142E-05,0.001805074,0.05103589,0.009709119,0.07415173,0.003480226,0.01633417,0.001422876,0.01118567,0.009886728,9.439984,0.0001314111,0.01680618,0.1457574,1.728006,0.1503962,0.0004363633,0.000345894,0.01665263,0.1550666,0.2831188,0.05915236,0.02919764,0.03836944,0.05475575,0.02399715,0.0002420995,1.881942,0.007745458,0.002712303,0.03058843,0.0680192,19.21013,1.584343,3.588733,4.844306,14.00333,5.748858,14.02,23.3138
79,0.02417725,0.001972555,0.00167184,0.03537713,0.02666068,0.1776644,0.007838384,0.00293643,0.04852932,0.002409652,0.009848802,0.002476133,0.000821626,0.01615118,0.005786534,0.002758571,0.0006719638,0.03504736,0.001729605,0.02887799,8.557102E-05,0.04102679,4.137848E-05,0.01553552,0.07294998,0.003302846,0.003302302,0.0001428134,0.001071103,5.046436E-05,0.001062393,0.0003960975,0.0003328191,0.02476018,0.0002701761,0.002184375,0.001210498,4.671884E-06,3.706771E-05,0.001811281,0.05104597,0.008350311,0.07493713,0.003474717,0.01638112,0.00142414,0.01131232,0.009865304,9.291299,0.0001310965,0.01674055,0.1456555,1.738978,0.147869,0.0004323607,0.0003372946,0.0167057,0.1753357,0.3044345,0.0589132,0.03054602,0.03886774,0.04908918,0.02279212,0.0002439454,1.811357,0.008508333,0.002589488,0.02544573,0.06685008,19.2024,1.425322,4.594141,5.771074,15.6357,4.493549,15.42668,27.82147
80,0.02419061,0.001965598,0.001667129,0.03537552,0.02668985,0.1779341,0.007850344,0.002933266,0.0485586,0.002400994,0.009843972,0.00247285,0.0008250768,0.01624462,0.005595095,0.002754134,0.0006650775,0.0334129,0.0017318,0.02793999,8.221838E-05,0.04103423,4.208552E-05,0.01516891,0.07296456,0.003105345,0.003277454,0.0001435916,0.001041466,5.059111E-05,0.001064714,0.000383538,0.0003322024,0.02327848,0.0002518868,0.002149107,0.001200352,4.605956E-06,3.672923E-05,0.001807703,0.05049097,0.007151187,0.0757927,0.003452776,0.01641714,0.001416211,0.0111195,0.009716403,9.14004,0.0001307653,0.0166844,0.146071,1.762892,0.1456024,0.0004282865,0.0003283868,0.01674601,0.1950947,0.3328452,0.06443502,0.03298157,0.04099754,0.04368715,0.02157635,0.0002431803,1.795058,0.009142188,0.00248537,0.02097062,0.06687877,19.48002,1.274099,6.107186,6.854098,16.33491,3.650847,14.78577,30.78744
