"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/10/2023 9:54:36 AM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_00
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.03584477,0.0123741,0.00961718,0.04988538,0.05824091,0.4136498,0.009926098,0.0038539,0.06088368,0.01078793,0.04099794,0.002579029,0.002565302,0.00863047,0.0459292,0.003788974,0.007858165,0.0915097,0.006856481,0.02948427,0.0009826167,0.3052357,0.002729353,0.2448839,0.1281837,0.001207913,0.002898893,0.000492876,0.004301148,2.058498E-05,0.01508978,0.0002003777,0.002285867,0.01838735,0.004977623,0.1155778,0.08190848,0.1379502,0.002234417,0.01266711,0.3348739,0.0657934,0.1277341,0.04793775,0.04860773,0.05519509,0.4196671,0.07970736,16.57986,0.0005705605,0.05218334,0.1842743,0.03472332,0.0588382,0.008287517,0.01088745,0.5215898,2.184193,5.077549,2.215633,1.13684,1.073825,0.5853803,0.05736668,0.01226128,1.625979,0.008545268,0.020487,0.1243341,0.1590264,46.26944,7.152435,12.64583,15.38296,33.93367,4.547683,25.68457,56.07148
2,0.0358969,0.01229879,0.009571031,0.05014361,0.0591768,0.4143109,0.009978394,0.003856007,0.06110856,0.01044782,0.03707432,0.002526535,0.002564286,0.009631758,0.03955391,0.003846581,0.007799454,0.09057671,0.006823354,0.02905327,0.0009554874,0.3046499,0.001936058,0.2341705,0.1284079,0.001210687,0.002889297,0.0004926088,0.004285132,2.062712E-05,0.01472985,0.0001998863,0.002264536,0.01791778,0.004720301,0.1137272,0.08158582,0.1392724,0.002228411,0.01261836,0.3312391,0.0628581,0.1287114,0.04766909,0.04892563,0.05512444,0.393858,0.07871136,16.59389,0.0005682098,0.05011224,0.1840632,0.03531973,0.0590807,0.008241423,0.01089941,0.521466,2.184078,5.068642,2.217043,1.1313,1.073053,0.5896072,0.05691506,0.01228708,1.627567,0.00826976,0.01766293,0.1203921,0.1559116,46.277,7.152115,12.66036,15.38251,33.934,4.545796,25.68048,56.06627
3,0.03593782,0.01223706,0.009529009,0.05039005,0.05997895,0.415033,0.01002958,0.003888892,0.06131756,0.01012671,0.03297872,0.002450461,0.002544685,0.01073225,0.02973899,0.003909071,0.007668629,0.0894246,0.00681666,0.02952947,0.0009671416,0.305075,0.001757454,0.2256578,0.1285301,0.001273388,0.002890442,0.0004933836,0.004260877,2.079679E-05,0.01433784,0.0001983524,0.002273108,0.0173233,0.004881323,0.1056817,0.08321259,0.1394105,0.002218209,0.01266285,0.3237488,0.06025118,0.1310006,0.04741039,0.05176177,0.0557338,0.3637999,0.0783185,16.65567,0.0005641298,0.04796876,0.1842647,0.03649266,0.06065162,0.008199162,0.01106361,0.5299739,2.190259,5.078109,2.206831,1.12888,1.066434,0.603259,0.05607089,0.01239609,1.631736,0.008152919,0.01730542,0.1185202,0.1526667,46.22321,7.151066,12.64729,15.38299,33.93417,4.543037,25.68701,56.07401
4,0.03600099,0.01219037,0.009490458,0.05064233,0.06074768,0.4162522,0.01008045,0.003914651,0.06149425,0.009826121,0.03234451,0.002419734,0.002519773,0.01196523,0.02308668,0.003956019,0.007547567,0.08777938,0.006844446,0.03006091,0.0009886246,0.3050821,0.001970455,0.2241339,0.1285491,0.001291474,0.002901315,0.0004930773,0.004261174,2.113226E-05,0.01392685,0.0001974305,0.002287998,0.01628723,0.004992451,0.1025039,0.08377743,0.1398183,0.002207954,0.01264541,0.3144315,0.05764928,0.1346005,0.04693675,0.05459079,0.05641195,0.3505698,0.07802383,16.73333,0.0005592217,0.0480152,0.1840725,0.03824524,0.06329796,0.008160796,0.011326,0.5464576,2.176026,5.077781,2.211149,1.123965,1.06289,0.6163838,0.05516094,0.01251081,1.63226,0.008235625,0.01834805,0.1197014,0.152123,46.082,7.145898,12.65133,15.3789,33.93406,4.546882,25.69531,56.08629
5,0.03608957,0.01215599,0.009454273,0.05090021,0.06148264,0.4172101,0.0101239,0.003871789,0.06151868,0.009546808,0.03078838,0.002379281,0.002485653,0.01334118,0.01860872,0.003933843,0.007461539,0.08544116,0.006844733,0.02946755,0.0009750306,0.3040477,0.001753993,0.2184774,0.1283738,0.001254623,0.00289778,0.0004904671,0.004268543,2.152694E-05,0.01348928,0.0001966509,0.002264812,0.01470077,0.004724176,0.1056715,0.07947749,0.1397351,0.002193278,0.01241427,0.3043679,0.05289726,0.1391208,0.04577908,0.05476347,0.05637205,0.3290036,0.07647288,16.77102,0.0005531622,0.04754822,0.1825115,0.04045342,0.06632782,0.00812631,0.01160137,0.5636459,2.174403,5.059189,2.210178,1.125971,1.059464,0.6256282,0.05480504,0.01258785,1.633002,0.008101181,0.01697317,0.1181053,0.1496957,45.8732,7.138554,12.6698,15.38046,33.93884,4.524902,25.70445,56.10026
6,0.03619162,0.0121304,0.009419322,0.05116637,0.06217137,0.4177487,0.01016094,0.003776923,0.06138083,0.00928829,0.02907149,0.00232986,0.002445314,0.01486234,0.0159686,0.003844881,0.007368833,0.08336375,0.006821096,0.02857464,0.0009896565,0.3023248,0.001754426,0.2143508,0.1279864,0.001223235,0.002865369,0.0004895177,0.004277101,2.187364E-05,0.01302906,0.0001956659,0.002212245,0.01306792,0.004880717,0.1027234,0.07764287,0.1390108,0.002171775,0.01209541,0.296857,0.04826821,0.1442938,0.04415955,0.05371521,0.05602372,0.3048865,0.07473863,16.8064,0.0005451811,0.04677314,0.1798575,0.04305157,0.06942065,0.008095589,0.01184515,0.5800046,2.178961,5.089598,2.228722,1.136752,1.062962,0.6361501,0.05519231,0.01262953,1.633994,0.008060942,0.01698368,0.1175315,0.1462799,45.69551,7.131415,12.66436,15.38347,33.94103,4.527273,25.71197,56.11499
7,0.03631093,0.01211002,0.009384487,0.05144276,0.06281868,0.4182068,0.01019524,0.003669896,0.06110257,0.009049876,0.02644599,0.002266899,0.002414243,0.01655017,0.01323373,0.003717444,0.007245333,0.0819203,0.006871787,0.02777186,0.0009688127,0.3018205,0.001442059,0.206878,0.127363,0.001231174,0.002826303,0.0004915344,0.00429953,2.223499E-05,0.01258342,0.0001943454,0.002147646,0.01171573,0.004624197,0.09943957,0.07813468,0.1374263,0.002144006,0.01179524,0.2892661,0.04394307,0.1499082,0.04230863,0.05281629,0.05567087,0.2766877,0.07318098,16.84297,0.0005351724,0.04533718,0.1763209,0.04597534,0.07233191,0.00806845,0.01203584,0.5945706,2.196376,5.095619,2.238956,1.148942,1.068581,0.6465509,0.05613389,0.01263691,1.630927,0.007846949,0.01515987,0.1147514,0.1412323,45.53296,7.125116,12.6413,15.38515,33.94351,4.519338,25.72429,56.12978
8,0.03643892,0.01209602,0.009349081,0.05171633,0.06342703,0.4187818,0.01022747,0.003592809,0.06096281,0.008830342,0.02440422,0.002195461,0.002367223,0.01833547,0.009864797,0.003606505,0.007083652,0.08199774,0.006811231,0.02718584,0.0009855134,0.3028267,0.001435961,0.2050643,0.1270431,0.00124918,0.002791385,0.0004959652,0.004312996,2.305777E-05,0.01215316,0.0001927949,0.002076973,0.01186045,0.004795058,0.09445322,0.07633504,0.1352128,0.002139139,0.01173484,0.2832313,0.04373711,0.1560862,0.04192474,0.05233272,0.05576038,0.2567123,0.07294757,16.915,0.0005296621,0.04404645,0.1749758,0.04964396,0.07525104,0.008044777,0.01221784,0.6078107,2.228098,5.159059,2.236576,1.151486,1.078181,0.6599942,0.05787252,0.01269739,1.620092,0.007800375,0.01502961,0.1139639,0.1364746,45.39236,7.123792,12.59673,15.38805,33.94329,4.512713,25.7394,56.15079
9,0.03658863,0.0120886,0.009313027,0.05198446,0.06401254,0.4194852,0.0102558,0.003511659,0.06089256,0.008628991,0.02397553,0.002158698,0.002322075,0.02031523,0.008663469,0.003494101,0.006937406,0.08282528,0.006772551,0.02617148,0.001003153,0.3026464,0.001507528,0.2059573,0.1269656,0.001227657,0.002752545,0.0005034976,0.004299655,2.392817E-05,0.01176326,0.0001916093,0.001973539,0.01181223,0.004831206,0.09148369,0.07325328,0.1332751,0.002145269,0.01165792,0.2819754,0.04333767,0.1627137,0.04197512,0.05015201,0.0556672,0.2472457,0.07267226,16.9792,0.00052779,0.04401194,0.1743674,0.05411349,0.07797109,0.008024354,0.01238995,0.6200046,2.230294,5.198832,2.261755,1.150377,1.084941,0.6721228,0.0600921,0.01274759,1.606449,0.007835273,0.01531814,0.1146364,0.1337122,45.21998,7.119361,12.60081,15.38144,33.94384,4.510715,25.74054,56.15388
10,0.03675457,0.01208097,0.009276262,0.05224457,0.06457321,0.4206002,0.01029155,0.00348721,0.06096287,0.00844926,0.02429204,0.002159218,0.0022979,0.02258852,0.008381552,0.003420269,0.006802256,0.08523453,0.006902007,0.02604418,0.001010864,0.3048718,0.001581294,0.2099472,0.1270256,0.001271551,0.002745907,0.0005138901,0.004303172,2.505237E-05,0.01158681,0.0001907191,0.00187663,0.01255821,0.004818805,0.09340682,0.06833985,0.131678,0.002157642,0.01174702,0.2849276,0.04501421,0.1693692,0.04253066,0.04937626,0.0557487,0.2467703,0.07348593,17.00668,0.0005273868,0.04470124,0.1741841,0.05882691,0.07984414,0.008006571,0.01251034,0.6281232,2.245097,5.217506,2.281395,1.166581,1.089604,0.6803222,0.06240787,0.01275425,1.593441,0.007869326,0.01508596,0.1153634,0.1318661,45.00211,7.114594,12.58474,15.3805,33.94526,4.49479,25.75424,56.17183
