"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/10/2023 9:54:36 AM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_00
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
11,0.03586774,0.01234426,0.009599238,0.0499863,0.05862459,0.4140139,0.009946906,0.003857599,0.06098728,0.01065722,0.04099353,0.002578882,0.002567109,0.008993678,0.04600284,0.003815162,0.007858575,0.09149871,0.006843871,0.02949676,0.0009829852,0.3052246,0.002728831,0.2449139,0.1282988,0.001210331,0.002898108,0.0004936914,0.004302151,2.053702E-05,0.01496434,0.0002006335,0.002278505,0.01838845,0.005009762,0.1157971,0.08195455,0.1389192,0.002234426,0.01267238,0.3347919,0.06578494,0.1280054,0.04795751,0.04871315,0.05519792,0.4197066,0.07972114,16.58368,0.000570099,0.05217789,0.1842939,0.03491327,0.05883753,0.008269658,0.01087937,0.5211262,2.180886,5.082259,2.210961,1.132717,1.07653,0.5857253,0.05736408,0.01226366,1.625182,0.008547439,0.02048881,0.1243439,0.1589932,46.28158,7.152882,12.65177,15.38356,33.93335,4.544684,25.68184,56.06968
12,0.03587233,0.01233785,0.009595357,0.05000783,0.05870777,0.4140896,0.009951453,0.003858378,0.06100956,0.0106288,0.04099244,0.002578847,0.00256751,0.009077416,0.04601818,0.00382089,0.007858605,0.09149644,0.006841179,0.02949942,0.000983363,0.3052589,0.00272926,0.2449137,0.1283232,0.001206349,0.0029024,0.0004932609,0.004302577,2.052958E-05,0.0149366,0.0002006912,0.002276875,0.01838857,0.005035267,0.1158578,0.081901,0.1391281,0.002234424,0.0126735,0.3347743,0.06578296,0.1280661,0.04796197,0.0487363,0.05519803,0.4197244,0.07972448,16.58453,0.0005700031,0.05217657,0.1842981,0.03495379,0.05883726,0.008265791,0.01087769,0.5210353,2.178664,5.084624,2.211464,1.133113,1.074911,0.5858158,0.05736344,0.01226409,1.625222,0.008547428,0.02048886,0.1243462,0.1589872,46.28403,7.152911,12.6532,15.38305,33.9332,4.546152,25.68126,56.06754
13,0.03587682,0.01233152,0.009591514,0.05002945,0.05879052,0.4141456,0.009955933,0.00385833,0.06102793,0.01060052,0.04041162,0.002572358,0.002567658,0.009160546,0.04513821,0.003825662,0.007852485,0.09138035,0.006838406,0.02943736,0.0009699684,0.3051687,0.002442528,0.2424921,0.1283392,0.001209569,0.00289873,0.0004931317,0.004300886,2.066026E-05,0.0149049,0.0002006179,0.002275099,0.01831704,0.004875383,0.1157819,0.08178974,0.1391945,0.002233688,0.01266632,0.3343366,0.06536436,0.1281264,0.0479252,0.0487579,0.05517724,0.4162272,0.07958647,16.58473,0.0005697817,0.05188839,0.1842562,0.03499262,0.05883247,0.008261949,0.01087604,0.5208539,2.179024,5.083462,2.211248,1.134069,1.07368,0.5859029,0.05729902,0.01226338,1.6253,0.008484774,0.01948963,0.1235066,0.1585245,46.28355,7.152579,12.6531,15.38252,33.93308,4.547546,25.68128,56.06728
14,0.03588109,0.01232525,0.009587696,0.05005065,0.05886495,0.4141914,0.009960365,0.003858034,0.06104476,0.01057236,0.03968797,0.00256395,0.002567584,0.009243983,0.04402257,0.003830013,0.007844352,0.09123033,0.006835596,0.02935802,0.0009647898,0.3050489,0.002244757,0.2403393,0.1283524,0.001208828,0.002897867,0.0004927588,0.004299054,2.065305E-05,0.01487306,0.0002004994,0.002273266,0.01822887,0.004802009,0.1154924,0.08174758,0.1392182,0.002232729,0.01265683,0.3337722,0.06483734,0.1281935,0.04787663,0.04878073,0.05515268,0.4117693,0.07940957,16.58506,0.0005695164,0.05152243,0.1842037,0.03503411,0.05883439,0.008258129,0.01087528,0.5206985,2.175267,5.086675,2.211911,1.133775,1.07323,0.58611,0.05721769,0.0122633,1.625418,0.008414592,0.01858349,0.1225593,0.1579488,46.28263,7.152247,12.65415,15.38217,33.93324,4.550342,25.68111,56.06774
15,0.03588517,0.01231908,0.009583909,0.05007168,0.05893638,0.41423,0.009964677,0.003857646,0.06106072,0.01054434,0.03896397,0.002555105,0.002567324,0.009327963,0.0428813,0.003834171,0.007835393,0.09107258,0.006832751,0.02927725,0.0009570723,0.3049247,0.002105785,0.2384505,0.1283648,0.001209052,0.002896343,0.0004924785,0.004297051,2.064262E-05,0.01484202,0.0002003643,0.002271396,0.01814133,0.004744551,0.1153488,0.08162344,0.1392309,0.002231703,0.01264695,0.3331738,0.0643055,0.1282707,0.04782561,0.04880584,0.05513109,0.4071805,0.07922797,16.58549,0.0005692321,0.05114864,0.1841529,0.03508077,0.05884837,0.00825434,0.01087592,0.5206093,2.182538,5.076523,2.215475,1.132386,1.073177,0.5864889,0.05713515,0.01226464,1.625619,0.008353636,0.01798236,0.1217211,0.1573721,46.28164,7.152016,12.65691,15.38198,33.93304,4.551558,25.68105,56.06813
16,0.03588896,0.01231298,0.009580125,0.05009244,0.05900669,0.4142631,0.009968855,0.003857222,0.06107592,0.01051641,0.03828279,0.002546316,0.002566877,0.009412613,0.04177804,0.00383817,0.007825972,0.09091562,0.006829923,0.02919964,0.0009523662,0.304819,0.002002764,0.2367729,0.1283771,0.001207849,0.002895764,0.0004924987,0.0042936,2.071957E-05,0.01481144,0.0002002261,0.002269498,0.01805984,0.004702644,0.1150148,0.08152663,0.1392422,0.002230667,0.01263739,0.3325771,0.06379756,0.1283606,0.04777519,0.0488335,0.05511414,0.4027286,0.07905217,16.58657,0.000568939,0.05078963,0.1841084,0.03513333,0.05887534,0.008250572,0.01087814,0.5205987,2.183531,5.071779,2.216244,1.13361,1.072372,0.5870306,0.05705677,0.01226758,1.62594,0.0083053,0.01763358,0.1210336,0.1568305,46.28081,7.151983,12.65988,15.38209,33.93383,4.549318,25.68089,56.06889
17,0.03589258,0.01230697,0.009576404,0.0501132,0.05907639,0.4142907,0.009972946,0.003856768,0.06109044,0.01048858,0.03765455,0.002537719,0.002566284,0.009497974,0.04072945,0.003841966,0.007816201,0.09076282,0.006827097,0.02912684,0.0009503718,0.304727,0.001920393,0.2352916,0.1283892,0.001210501,0.002891572,0.0004923072,0.004290579,2.072032E-05,0.01477833,0.0002000885,0.00226758,0.01798517,0.004698094,0.1145998,0.08150735,0.1392535,0.00222965,0.0126283,0.3319926,0.06332368,0.1284634,0.04772639,0.04886384,0.05510217,0.3984951,0.07888591,16.58806,0.0005686425,0.05045213,0.1840702,0.03519168,0.05891662,0.008246828,0.01088191,0.5206766,2.180239,5.064827,2.224705,1.133052,1.072615,0.5877295,0.05698377,0.01227203,1.626377,0.008268612,0.01744476,0.1204852,0.1563333,46.27983,7.152005,12.66211,15.38221,33.93399,4.545216,25.68045,56.06855
18,0.03589602,0.01230109,0.009572697,0.05013383,0.05914546,0.4143159,0.009976909,0.003856286,0.06110439,0.01046088,0.03707895,0.002529348,0.00256555,0.009584052,0.03973721,0.003845615,0.007806125,0.0906147,0.006824297,0.02905909,0.0009475268,0.3046457,0.001855324,0.2339587,0.1284012,0.001211509,0.00288955,0.000492171,0.004287964,2.077304E-05,0.01474633,0.0001999496,0.002265631,0.01791694,0.004648232,0.1142823,0.08141712,0.1392652,0.002228667,0.01261965,0.3314248,0.06288496,0.1285787,0.04767967,0.0488963,0.05509567,0.3945009,0.07872981,16.58998,0.0005683461,0.05013749,0.1840395,0.0352553,0.05897074,0.008243109,0.01088719,0.5208396,2.177567,5.072175,2.218575,1.129261,1.075212,0.588561,0.05691664,0.01227765,1.626918,0.008241352,0.0173453,0.1200526,0.1558809,46.27869,7.15205,12.66409,15.38238,33.93406,4.54164,25.6803,56.0666
19,0.03589933,0.0122953,0.009569025,0.05015432,0.05921415,0.4143378,0.009980824,0.003855799,0.06111783,0.0104333,0.03655196,0.002521218,0.002564635,0.009670863,0.0387988,0.00384912,0.007795797,0.09047133,0.00682157,0.02899609,0.0009473811,0.3045925,0.00181451,0.2327767,0.1284135,0.00120983,0.002889446,0.0004922809,0.004284048,2.062915E-05,0.01471443,0.0001998113,0.002263658,0.01785448,0.004599847,0.1138585,0.0814162,0.1392775,0.002227722,0.01261154,0.3308745,0.06247928,0.1287063,0.04763494,0.04893081,0.05509439,0.3907419,0.0785841,16.5924,0.0005680521,0.04984542,0.1840147,0.03532405,0.05903829,0.008239412,0.01089386,0.521089,2.183374,5.064887,2.217879,1.131498,1.073623,0.5894989,0.05685498,0.01228442,1.627544,0.008221499,0.01729225,0.119717,0.1554713,46.2775,7.15213,12.66471,15.38258,33.93444,4.539642,25.68014,56.06543
20,0.0359025,0.01228961,0.009565386,0.05017472,0.05928237,0.4143575,0.009984655,0.003855312,0.0611311,0.01040586,0.03606917,0.00251333,0.002563577,0.009758414,0.03791085,0.003852553,0.00778524,0.09033322,0.006818926,0.02893759,0.0009492403,0.3045499,0.001787934,0.2316997,0.1284258,0.001211488,0.00288605,0.0004925483,0.004280269,2.051641E-05,0.01468247,0.0001996741,0.002261666,0.0177979,0.004633191,0.1132983,0.08153743,0.1392901,0.002226816,0.01260388,0.3303424,0.06210434,0.1288453,0.04759239,0.0489672,0.05509829,0.3872086,0.07844816,16.59509,0.0005677615,0.04957488,0.1839968,0.03539794,0.05911971,0.008235752,0.01090246,0.5214259,2.187565,5.055318,2.223572,1.129169,1.074688,0.5905196,0.05679849,0.0122921,1.628202,0.008206892,0.0172625,0.1194545,0.1551073,46.27617,7.152177,12.66491,15.38278,33.93476,4.540031,25.67999,56.06457
